,location,protected,verified,id,description,name,profile_image_url,url,public_metrics,username,entities,pinned_tweet_id
0,Washington State,False,False,1887633740,"Nothing worth fighting for has ever been won without a fight.
Grocery Store Worker

I also don't know how to Twitter.",Sassy Banana Pants,https://pbs.twimg.com/profile_images/1325166671712067586/P5LQv1KW_normal.png,,"{'followers_count': 139, 'following_count': 385, 'tweet_count': 4332, 'listed_count': 1}",ProteinFunction,,
1,18 ,False,False,835351408207527936,Raped by reality,eeeeeeep,https://pbs.twimg.com/profile_images/1520640820529209344/eW1Ixxu__normal.jpg,https://t.co/Ti06qR1O8x,"{'followers_count': 1913, 'following_count': 937, 'tweet_count': 19975, 'listed_count': 14}",0001mz,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Ti06qR1O8x', 'expanded_url': 'https://www.instagram.com/r444.d/', 'display_url': 'instagram.com/r444.d/'}]}}",1461214449650442240
2,28/09/21 dance floor wataru,False,False,836926232692310017,"19 | 渉、夏目、零、五奇人、スイッチ、悠久奇譚推し。渉零好き
WataruP, also screams about oddballs, Switch, 2wink
PLS READ CARRD BYF
https://t.co/hA4YVSNHjv
Eng/中文/日本語🆗",Azura アズラ 🎉 happi enst anni,https://pbs.twimg.com/profile_images/1519035507363426304/uYPhTCk3_normal.jpg,https://t.co/qZphwmWeoZ,"{'followers_count': 2458, 'following_count': 1247, 'tweet_count': 90394, 'listed_count': 33}",ephemeral_smile,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/qZphwmWeoZ', 'expanded_url': 'https://ephemeral-smile.carrd.co/', 'display_url': 'ephemeral-smile.carrd.co'}]}, 'description': {'urls': [{'start': 104, 'end': 127, 'url': 'https://t.co/hA4YVSNHjv', 'expanded_url': 'http://marshmallow-qa.com/ephemeral_smile', 'display_url': 'marshmallow-qa.com/ephemeral_smile'}]}}",1495413734436577287
3,Treaty 6 Land,False,False,770444238,"There are no problems, only challenges.
You can only go as far as you can see, but once you get there you'll see farther.
#RidersFan,
#EternalOptimist",Dusk/Dawn,https://pbs.twimg.com/profile_images/1503873369367752707/1FU10Fdj_normal.jpg,,"{'followers_count': 881, 'following_count': 1848, 'tweet_count': 55143, 'listed_count': 5}",Dusk357A,"{'description': {'hashtags': [{'start': 122, 'end': 132, 'tag': 'RidersFan'}, {'start': 134, 'end': 150, 'tag': 'EternalOptimist'}]}}",1512582895000449028
4,"Washington, DC",False,False,61200816,"Real ones know it’s DC or the District NOT WASHINGTON! Georgetown Hoya, UDC Firebird ❤️, proud Pitt Mom, 🏈 fan, 12💚💙,TV 📺 and Podcast fanatic ♎️",EJ,https://pbs.twimg.com/profile_images/1517069184827600896/ms2mGecZ_normal.jpg,,"{'followers_count': 335, 'following_count': 1016, 'tweet_count': 6920, 'listed_count': 4}",Ebbie924,,1270832372263587850
5,ストゼロ共和国ダブルグレープフルーツ州,False,False,812461324089208832,ゲーミングアル中/ #感謝のストゼロ /絵@CH4NKURO / h:ᙏ̤̫͚,ちゃんくろ,https://pbs.twimg.com/profile_images/1392035382812823559/t8INgCFx_normal.jpg,https://t.co/4YDMPKTMFi,"{'followers_count': 200, 'following_count': 181, 'tweet_count': 34010, 'listed_count': 8}",kuroSpla_GOOD4,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/4YDMPKTMFi', 'expanded_url': 'https://odaibako.net/u/kuroSpla_GOOD4', 'display_url': 'odaibako.net/u/kuroSpla_GOO…'}]}, 'description': {'hashtags': [{'start': 10, 'end': 18, 'tag': '感謝のストゼロ'}], 'mentions': [{'start': 21, 'end': 30, 'username': 'CH4NKURO'}]}}",1433006722726068231
6,岡山操山高→京大文学部言語学→修士中退→委託&個人開発@京都,False,False,4379429952,"#にじぷよ、運ゲー排除マインスイーパー💣、v-data(@vtuberdata)等を製作しています※固定ツイ参照
@KMC_JP所属 AtCoder青 けん玉五段 ContractBridge CodeGolf Piet アニメ VTuber🌈🕒🦇🌕🍮 ほしい物リストhttps://t.co/qIhJWSyyZv",DNEK(でぃーねっく),https://pbs.twimg.com/profile_images/1255511265331609604/Wf4BCNTL_normal.jpg,https://t.co/h2g24zLJzP,"{'followers_count': 709, 'following_count': 965, 'tweet_count': 8792, 'listed_count': 9}",dnek_,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/h2g24zLJzP', 'expanded_url': 'https://dnek.net/', 'display_url': 'dnek.net'}]}, 'description': {'urls': [{'start': 134, 'end': 157, 'url': 'https://t.co/qIhJWSyyZv', 'expanded_url': 'http://amzn.asia/dagudrC', 'display_url': 'amzn.asia/dagudrC'}], 'hashtags': [{'start': 0, 'end': 5, 'tag': 'にじぷよ'}], 'mentions': [{'start': 28, 'end': 39, 'username': 'vtuberdata'}, {'start': 57, 'end': 64, 'username': 'KMC_JP'}]}}",1410811809276305410
7,,False,False,19638592,YZF-R6/melocy https://t.co/CTEmxA7HxG /love C#/福井高専OB/ドラム/ヘビーメタル/SONY α,も,https://pbs.twimg.com/profile_images/1398151211342172163/ux3Hnl3m_normal.jpg,,"{'followers_count': 731, 'following_count': 775, 'tweet_count': 41339, 'listed_count': 57}",hIDDEN_xv,"{'description': {'urls': [{'start': 14, 'end': 37, 'url': 'https://t.co/CTEmxA7HxG', 'expanded_url': 'http://melocy.com', 'display_url': 'melocy.com'}]}}",
8,"Bath, Europe",False,False,288449560,"💙(NHS) 💚 Electoral & parl. reform are essential to restore democracy to UK. 'This world is ruled by violence, but i guess that's better left unsaid' Dylan",1st Knight of the Bath Gus Langley,https://pbs.twimg.com/profile_images/1516751236850237444/3BcnNStn_normal.jpg,,"{'followers_count': 2573, 'following_count': 2890, 'tweet_count': 9549, 'listed_count': 2}",GusLangley,,1423983261009813504
9,"Glasgow, Scotland",False,False,2990653240,,Ajwolf83,https://pbs.twimg.com/profile_images/1492512899448856584/oYJ_JlJY_normal.jpg,,"{'followers_count': 17, 'following_count': 83, 'tweet_count': 370, 'listed_count': 0}",albawolf83,,
