,location,name,protected,url,verified,public_metrics,description,profile_image_url,username,id,entities,pinned_tweet_id
0,Hong Kong,Carmen Chan,False,https://t.co/hUMdqrWGY5,False,"{'followers_count': 3, 'following_count': 28, 'tweet_count': 191, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1343211422864445440/TYk3Pj1m_normal.jpg,carmen2610,54290758,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hUMdqrWGY5', 'expanded_url': 'http://bigheadc.multiply.com/', 'display_url': 'bigheadc.multiply.com'}]}}",
1,"Seattle, WA",Jacob Mabry,False,,False,"{'followers_count': 17, 'following_count': 144, 'tweet_count': 830, 'listed_count': 0}",✌🏼,https://pbs.twimg.com/profile_images/1076848426258595840/HJKLNb3l_normal.jpg,jacobmactavish,1076745271541825536,,
2,The Open Road,Johnny D,False,https://t.co/VZWamdQ0s8,False,"{'followers_count': 1126, 'following_count': 296, 'tweet_count': 1043, 'listed_count': 0}",Trailblazer. Songwriter. Traveller. Producer. Thrift Junkie. Pest Control Route Manager. Carolina… Beach Days OUT NOW ✨,https://pbs.twimg.com/profile_images/1504900110584627205/Ii0JpwYJ_normal.jpg,DylanBGallimore,810123805,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/VZWamdQ0s8', 'expanded_url': 'https://ffm.to/beachdays', 'display_url': 'ffm.to/beachdays'}]}}",1503565579264921602
3,Rosemont,Just Jayo,False,https://t.co/jrxTnoPCnN,False,"{'followers_count': 279, 'following_count': 344, 'tweet_count': 12728, 'listed_count': 2}","Honorary Cultural Representative

Dope On The Table Podcast 
@tablefullofdope",https://pbs.twimg.com/profile_images/1396287619529576448/nYS_i_ah_normal.jpg,Jayoisjustfine,188047885,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/jrxTnoPCnN', 'expanded_url': 'https://linktr.ee/IAMHIM', 'display_url': 'linktr.ee/IAMHIM'}]}, 'description': {'mentions': [{'start': 61, 'end': 77, 'username': 'tablefullofdope'}]}}",1195212938296123392
4,"Akron, OH",Amy Oplinger Singh,False,,False,"{'followers_count': 18154, 'following_count': 7488, 'tweet_count': 40810, 'listed_count': 317}","https://t.co/CePPCjv1Hp |
AkronOHWIT Co- Leader | 
#dreamforce #Speaker |",https://pbs.twimg.com/profile_images/1498450930676736004/8k51O4Gt_normal.jpg,SalesforceAmy,3348044855,"{'description': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/CePPCjv1Hp', 'expanded_url': 'http://linkedin.com/in/aoplinger', 'display_url': 'linkedin.com/in/aoplinger'}], 'hashtags': [{'start': 51, 'end': 62, 'tag': 'dreamforce'}, {'start': 63, 'end': 71, 'tag': 'Speaker'}]}}",1521537937229369345
5,THE DANGER ZONE,𝙅𝙪𝙨𝙩𝙞𝙣 𝙏𝙪𝙧𝙣𝙚𝙧 ⚾️ 🎮,False,,False,"{'followers_count': 135, 'following_count': 497, 'tweet_count': 21706, 'listed_count': 3}","Gamer, BoSox fan, Paul Heyman Guy, and balding nerd. TIKTOK @SuperBaldilox! All opinions are mine alone and do not reflect that of my employer.",https://pbs.twimg.com/profile_images/1503801113476272130/t9fubj0h_normal.jpg,SuperBaldilox,20495379,"{'description': {'mentions': [{'start': 60, 'end': 74, 'username': 'SuperBaldilox'}]}}",
6,"Sylvania, OH",Bob Woodyard,False,,False,"{'followers_count': 88, 'following_count': 201, 'tweet_count': 4982, 'listed_count': 4}",,https://pbs.twimg.com/profile_images/440334283555606529/Wy0aXYcA_normal.jpeg,udbw2,38720567,,
7,"Chicago, IL",Mclovin ⚾️🧦,False,,False,"{'followers_count': 427, 'following_count': 1169, 'tweet_count': 9444, 'listed_count': 3}","Jess❤️
Follow My Twitch: TheeMclovin",https://pbs.twimg.com/profile_images/1423058593700536326/MwsZ3Qgc_normal.jpg,TheeMclovin,509763873,,1498697333625823233
8,Somewhere,I,False,,False,"{'followers_count': 267, 'following_count': 1118, 'tweet_count': 109650, 'listed_count': 14}",''Get some love in your life; whether that be another person or just loving yourself.'' - @MacMiller #SpreadLove❤ #GetVaxed💉 #BlackLivesMatter,https://pbs.twimg.com/profile_images/1480202120880173058/RouYxX4g_normal.jpg,Matt_Celia,309206529,"{'description': {'hashtags': [{'start': 101, 'end': 112, 'tag': 'SpreadLove'}, {'start': 114, 'end': 123, 'tag': 'GetVaxed'}, {'start': 125, 'end': 142, 'tag': 'BlackLivesMatter'}], 'mentions': [{'start': 90, 'end': 100, 'username': 'MacMiller'}]}}",1218050659221737474
9,,indi • yizhan开心就好,False,,False,"{'followers_count': 64, 'following_count': 94, 'tweet_count': 2364, 'listed_count': 1}",Bjyxszd. lsfy. 人间理想被人间妄想给偷走了 BXG. CPN. don’t hate. ❤️💛💚. working adult. she/her/anything is fine really. most probably a demi. ji chong simp.,https://pbs.twimg.com/profile_images/1499163749223403520/k1DhX1Jw_normal.jpg,yizhan905,1460357458002542592,,
10,Kingskerswell Devon,Maggie King,False,,False,"{'followers_count': 15, 'following_count': 76, 'tweet_count': 332, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/2809452310/f9639b77604cb213e5f8406bcf1dcfd0_normal.png,maggiejking,151445921,,
11,,Leonardo Lopez,False,,False,"{'followers_count': 29, 'following_count': 280, 'tweet_count': 814, 'listed_count': 0}","Ingenerio Civil, Hincha de Millonarios, amante del futbol, del cine y de la lectura",https://pbs.twimg.com/profile_images/1015939850133016577/ap_vW4Al_normal.jpg,Lalcubo,2151628314,,
12,,Abril Flores,False,,False,"{'followers_count': 29, 'following_count': 183, 'tweet_count': 1459, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1201292849/image_normal.jpg,AbrilFlores24,231214947,,
13,日本,たてぶえ天国♪,False,https://t.co/dghqMRTond,False,"{'followers_count': 681, 'following_count': 362, 'tweet_count': 22511, 'listed_count': 25}",NHKにお願い。#古楽の楽しみ を朝6時台に戻すか、再放送の時間を設定するか、聴き逃し配信を提供してほしい。あと #国会中継 やって。,https://pbs.twimg.com/profile_images/736463340646453248/obWjyH3I_normal.jpg,flauto_dolce,194050001,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/dghqMRTond', 'expanded_url': 'http://blockflote.blog135.fc2.com/blog-entry-85.html?sp&sp', 'display_url': 'blockflote.blog135.fc2.com/blog-entry-85.…'}]}, 'description': {'hashtags': [{'start': 8, 'end': 15, 'tag': '古楽の楽しみ'}, {'start': 57, 'end': 62, 'tag': '国会中継'}]}}",1330709998125469696
