,public_metrics,url,profile_image_url,protected,verified,name,id,username,description,pinned_tweet_id,entities,location,withheld
0,"{'followers_count': 4664, 'following_count': 3884, 'tweet_count': 259521, 'listed_count': 21}",,https://pbs.twimg.com/profile_images/486432379293020163/h1t6W6Jp_normal.png,False,False,Bermazij ☀️,417941587,koyesinjiki,,,,,
1,"{'followers_count': 1603, 'following_count': 1146, 'tweet_count': 96574, 'listed_count': 9}",,https://pbs.twimg.com/profile_images/1316754047471419394/uwW2cwyx_normal.jpg,False,False,consentia 🌹,586754093,claukowski,"Naturally funny because my whole life is a joke.            
   
I swear I don't love the drama, it loves me.

| 🏳‍🌈",1181640994867089410,,,
2,"{'followers_count': 77, 'following_count': 241, 'tweet_count': 215, 'listed_count': 2}",https://t.co/qIhZViDuDP,https://pbs.twimg.com/profile_images/851421199439732736/NTRRzhvo_normal.jpg,False,False,Kimberly R Edwards,151192040,sKIMspecialist,"God-loving Wife, Mother, Dermatologist - keeping it real",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/qIhZViDuDP', 'expanded_url': 'http://dermatologyassociateswilmington.com', 'display_url': 'dermatologyassociateswilmington.com'}]}}","Wilmington, NC",
3,"{'followers_count': 245, 'following_count': 798, 'tweet_count': 2508, 'listed_count': 6}",,https://pbs.twimg.com/profile_images/1505868281982369795/I-fgTGHU_normal.jpg,False,False,abd Dr Galvin,19430781,missgalvin,she/her - mom to two great kids 🦸🏾‍♂️🎀 - sped teacher 👩‍🏫,,,United States,
4,"{'followers_count': 69, 'following_count': 551, 'tweet_count': 2742, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1350870592531148807/_PogVz1b_normal.jpg,False,False,Vanixei 🍏🇪🇦,1222623808064053248,Vanixei1,"Hija de Paco y Ana. Adicta al café café.
Me dedico a la docencia porque era la única forma de seguir yendo al colegio. Seño Teacher. De la pública.",1451259658375729160,,,
5,"{'followers_count': 1867, 'following_count': 1527, 'tweet_count': 305876, 'listed_count': 59}",,https://pbs.twimg.com/profile_images/1502621555590840324/-kKH3n8n_normal.jpg,False,False,Rhonda,14129623,rhonda_,"1/3 Robert Pattinson obsession, 1/3 Harry Styles obsession, 1/3 Political talk. It's complicated.",,,,
6,"{'followers_count': 54, 'following_count': 303, 'tweet_count': 1085, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/721451758514479110/C5hhiwJ6_normal.jpg,False,False,cemile meydan eren,1648453760,MeydanCemile,,,,"Gothenburg, Sweden",
7,"{'followers_count': 37, 'following_count': 363, 'tweet_count': 229, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/378800000024977961/aed3480e399a24547f6560b34c3a12fd_normal.jpeg,False,False,Daniel Taggart,250909145,sprnk692,,,,,
8,"{'followers_count': 596, 'following_count': 653, 'tweet_count': 27418, 'listed_count': 2}",,https://pbs.twimg.com/profile_images/1388284229478404102/s_yxbRnE_normal.jpg,False,False,💐Helena💐,175841320,gohexyourself,"I'm thankful that naps are a thing.

She/her",1197927955386818560,,,
9,"{'followers_count': 50, 'following_count': 150, 'tweet_count': 1746, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/807529439009669120/8NBKgrXT_normal.jpg,False,False,Angel BC,1449386905,AngelBC64,Tarragoni i Català pateixo amb la jove i amb el Nàstic. Estimo Poblet i les seves muntanyes. Estic aprenent a estimar Santes Creus,,,"Tarragona, Catalunya",
10,"{'followers_count': 271, 'following_count': 775, 'tweet_count': 6302, 'listed_count': 2}",,https://pbs.twimg.com/profile_images/1408447978302545922/2_8SV3UV_normal.jpg,False,False,Dr. Cameron MD 🇵🇰👨‍⚕️⚕️,413340219,dr_m_kamran,"A Pediatric Surgeon.
Rawalian 38.",,,"Lahore, Pakistan",
11,"{'followers_count': 13, 'following_count': 44, 'tweet_count': 1355, 'listed_count': 1}",https://t.co/zA1FkWgVRJ,https://pbs.twimg.com/profile_images/1520603007745994752/d-W9eFve_normal.jpg,False,False,cassandra,2204049752,darklingsankta,marc spector defense attorney ☽ | she/her • 20 | current read: the mindf*ck series,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/zA1FkWgVRJ', 'expanded_url': 'https://darklingsankta.carrd.co', 'display_url': 'darklingsankta.carrd.co'}]}}",canada,
12,"{'followers_count': 199, 'following_count': 749, 'tweet_count': 9893, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1372712682365849600/iqD0ftTi_normal.jpg,False,False,Harold Scheely III,297500521,Hogleg721,"Waiting for that Cleveland Championship! Love my Browns and Cavs, and most of all my daughter! Let's talk some $h!t",,"{'description': {'cashtags': [{'start': 111, 'end': 113, 'tag': 'h'}]}}",Cleveland,
13,"{'followers_count': 294, 'following_count': 423, 'tweet_count': 31012, 'listed_count': 10}",https://t.co/HCHz75g02W,https://pbs.twimg.com/profile_images/1417810016346718209/i61l3m96_normal.jpg,False,False,Cryus,153176431,Cryus96,,1276824399103090688,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/HCHz75g02W', 'expanded_url': 'https://cryusphotography.wixsite.com/cryusphotography', 'display_url': 'cryusphotography.wixsite.com/cryusphotograp…'}]}}",Las nubes,
14,"{'followers_count': 6, 'following_count': 22, 'tweet_count': 92, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1487792401359982594/var66n77_normal.jpg,False,False,Noah Khuri,1487790272369016833,noahkhuri22,"MAHS c/o 2022 | VA Tech Corps of Cadets c/o 2026 | Pos: MAHS Swim Team 50, 100, 200, 500 Freestyle | MAHS Track Team 800, 1600, 3200 | Views are my own",1514373068206055425,,"Mount Airy, NC",
15,"{'followers_count': 180, 'following_count': 768, 'tweet_count': 1715, 'listed_count': 0}",https://t.co/Yj2oIeEJ7x,https://pbs.twimg.com/profile_images/697614271207903232/BIjdx67H_normal.jpg,False,False,Pablo Finquelievich,78298418,Finquel,,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Yj2oIeEJ7x', 'expanded_url': 'http://pablofinquel.blogspot.com', 'display_url': 'pablofinquel.blogspot.com'}]}}",Buenos Aires,
16,"{'followers_count': 3001, 'following_count': 1291, 'tweet_count': 293447, 'listed_count': 213}",,https://pbs.twimg.com/profile_images/3024020215/edf076c04fb3d2969377262ef2d6c1a2_normal.jpeg,False,False,Pfeifer,20704612,fbonacci,"Risk Averse. 
RTs not necessarily views I share or support. #CaveatLector",1522142992060059650,"{'description': {'hashtags': [{'start': 60, 'end': 73, 'tag': 'CaveatLector'}]}}",Princeton,
17,"{'followers_count': 234, 'following_count': 168, 'tweet_count': 8028, 'listed_count': 2}",,https://pbs.twimg.com/profile_images/1443565529688596480/lyDTkkd8_normal.jpg,False,False,cnr,217193466,idudarev,,,,,
18,"{'followers_count': 1697, 'following_count': 641, 'tweet_count': 128496, 'listed_count': 118}",,https://pbs.twimg.com/profile_images/1283509991241134083/WSkHM7au_normal.jpg,False,False,Jane Austen Powers ❤️💜💙,18014373,iamdustinfaber,"Dustin Faber. He/Him. I cook, play old games & read Cleary, Blume, and Austen. Bi. Montreal Expos fan. NINE NINE!",928048183258767360,,"Mansfield, AR",
19,"{'followers_count': 398, 'following_count': 617, 'tweet_count': 195544, 'listed_count': 0}",https://t.co/JgkNTlAALo,https://pbs.twimg.com/profile_images/1195732610351153152/SJz78jAP_normal.jpg,False,False,mikukai,221918970,kuu_cat,"Game Play List: ベセスダ関連作品、Bioshockシリーズ、マスエフェクト、Shadow Warriorシリーズ、etc Youtubeチャンネル: https://t.co/OHYSx3shHy
ブログは停止中",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/JgkNTlAALo', 'expanded_url': 'http://hypocrisy184.blog111.fc2.com/', 'display_url': 'hypocrisy184.blog111.fc2.com'}]}, 'description': {'urls': [{'start': 83, 'end': 106, 'url': 'https://t.co/OHYSx3shHy', 'expanded_url': 'https://www.youtube.com/channel/UC0MmtWtVZ3nIpE05eVUA4oA', 'display_url': 'youtube.com/channel/UC0Mmt…'}]}}",,
20,"{'followers_count': 19104, 'following_count': 17114, 'tweet_count': 165126, 'listed_count': 613}",https://t.co/GbpGn3L77n,https://pbs.twimg.com/profile_images/1493011528341241861/VG0UZrb8_normal.jpg,False,False,jen,14885622,jenscloset,https://t.co/JczBBgEUeI 🏸 I'm a Grandma! I sell vintage & I love tennis!  I miss Cleveland! I need more than 160 characters to explain more but I'm running out of,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/GbpGn3L77n', 'expanded_url': 'http://www.mymilkglassshop.etsy.com', 'display_url': 'mymilkglassshop.etsy.com'}]}, 'description': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/JczBBgEUeI', 'expanded_url': 'http://jenscloset.etsy.com', 'display_url': 'jenscloset.etsy.com'}]}}",Columbus Ohio,
21,"{'followers_count': 28, 'following_count': 50, 'tweet_count': 145, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1514294679172431880/Zbj5MgAt_normal.jpg,False,False,D,1490830254146998279,horrorreader30,"T1D ⚡
thriller, horror,crime etc reader ⚡
mom⚡
CR: Beautiful Boy by David Sheff",,,United States,
22,"{'followers_count': 1042, 'following_count': 143, 'tweet_count': 182833, 'listed_count': 3}",,https://pbs.twimg.com/profile_images/1513610054464847874/_D6n1Gaa_normal.jpg,False,False,Juan Carlos (Oficial),909148671995936769,Desman1967,Enredador semiprofesional. Nací y sigo vivo.,,,"Lloret de Mar, Spain",
23,"{'followers_count': 178, 'following_count': 429, 'tweet_count': 650, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1519331459827392514/F_d1TS-z_normal.jpg,False,False,Shawnee Bledsoe,1063324489210109952,BledsoeShawnee,surgical ICU nurse | U of M Lambuth alumna | night shift | concert/music junkie | tattoos | hippie by 🖤 weeb | fucking weirdo | bi 🏳️‍🌈 | @Colten_Lambo 😍,1304881687902420992,"{'description': {'mentions': [{'start': 138, 'end': 151, 'username': 'Colten_Lambo'}]}}","Tennessee, USA",
24,"{'followers_count': 1351, 'following_count': 722, 'tweet_count': 225551, 'listed_count': 45}",https://t.co/hRPqzjSwKU,https://pbs.twimg.com/profile_images/1500273790223331330/Xu3KdCBG_normal.jpg,False,False,Dave,20011468,DaveBFI,"#NT...
#ShoulderClapCoalition - Claptain K'nuckles

Photographer... IG: DaveBFI

They say tomorrow's not promised, but if it was I wouldn't get open..",1377419837475934212,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hRPqzjSwKU', 'expanded_url': 'http://www.barelyfittinin.com', 'display_url': 'barelyfittinin.com'}]}, 'description': {'hashtags': [{'start': 0, 'end': 3, 'tag': 'NT'}, {'start': 8, 'end': 30, 'tag': 'ShoulderClapCoalition'}]}}","Stuck in this Padded Room, CT",
25,"{'followers_count': 47, 'following_count': 175, 'tweet_count': 622, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/2721747245/4ed79294a9c97a29f91496c49e5c3357_normal.jpeg,False,False,virginia,868831296,Virginitass7,,,,,
26,"{'followers_count': 239, 'following_count': 268, 'tweet_count': 2221, 'listed_count': 4}",,https://pbs.twimg.com/profile_images/1519454226090369024/AlG-ZQN__normal.jpg,False,False,Kim Taehyung's Man Fan,98832985,rockbisonseven,"ONCE, ARMY, CARAT. My dog's name is Diesel. Rest in Paradise Gambino",,,,
27,"{'followers_count': 223, 'following_count': 252, 'tweet_count': 23877, 'listed_count': 7}",https://t.co/mYC6VxtaRw,https://pbs.twimg.com/profile_images/878298464291106817/vtxbbpe7_normal.jpg,False,False,Juanjo Romero,45636560,ieseccnn,¡Qué poco me queda para jubilarme!,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/mYC6VxtaRw', 'expanded_url': 'http://about.me/ieseccnn', 'display_url': 'about.me/ieseccnn'}]}}",España,
