,protected,name,id,description,username,url,verified,profile_image_url,pinned_tweet_id,public_metrics,location,entities
0,False,Joma,224624452,Mustard aficionado.  Still not blocked by Dakich.,JomaChameleon,,False,https://pbs.twimg.com/profile_images/1191772159196180480/eDq_V3Ii_normal.jpg,959864014716227585,"{'followers_count': 341, 'following_count': 314, 'tweet_count': 49271, 'listed_count': 11}","Greenwood, IN",
1,False,Matt Estep,89996135,"Happy Valley High School Cross Country and Track Coach, Athletic Director, Football and Basketball Announcer, and Occasional Teacher.",BigOrangeCtry,,False,https://pbs.twimg.com/profile_images/721859269/images_normal.jpg,,"{'followers_count': 546, 'following_count': 507, 'tweet_count': 5663, 'listed_count': 4}","E-town, USA",
2,False,𝐂𝐡𝐞𝐫𝐫𝐲 || Xyx’ official account,967066903779954689,𝐂𝐄𝐎 𝐨𝐟 𝐟𝐥𝐚𝐦𝐛𝐨𝐲𝐚𝐧𝐭 𝐡𝐢𝐦𝐛𝐨𝐬 ☕️ | 𝘾𝙤𝙖𝙘𝙝 & 𝙏𝙧𝙖𝙣𝙨𝙡𝙖𝙩𝙤𝙧 {𝚂𝙿𝙰-𝙴𝙽𝙶-𝙵𝚁-𝙳𝙴𝚄}| •🔞• | @leonyordo ‘𝐬 𝐬𝐨𝐮𝐥𝐦𝐚𝐭𝐞 💙,space_kamikazee,https://t.co/q8ECwDlBcZ,False,https://pbs.twimg.com/profile_images/1520474858496446464/uHZjZ4ez_normal.jpg,1510665516494512136,"{'followers_count': 195, 'following_count': 433, 'tweet_count': 23484, 'listed_count': 1}",||They/Them||,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/q8ECwDlBcZ', 'expanded_url': 'https://www.instagram.com/sk.coser/', 'display_url': 'instagram.com/sk.coser/'}]}, 'description': {'mentions': [{'start': 73, 'end': 83, 'username': 'leonyordo'}]}}"
3,False,MÜMTAZ X,299797636,"Bir amacım yok, aklıma eseni yazarım.",mmtzydn,,False,https://pbs.twimg.com/profile_images/1392283124625780737/Wq5T9n0x_normal.jpg,,"{'followers_count': 227, 'following_count': 377, 'tweet_count': 1106, 'listed_count': 0}",Türkiye,
4,False,Angels Vidl,1479054120292073473,,AngelsVidl,,False,https://pbs.twimg.com/profile_images/1479054276894900225/3rpk2T08_normal.png,,"{'followers_count': 21, 'following_count': 59, 'tweet_count': 446, 'listed_count': 0}",,
5,False,Nini(nee-nee),29826518,Artist • Proud Blockhead since 1988!   Murderino • #SSDGM,nkotb4ever,,False,https://pbs.twimg.com/profile_images/1508589272022065155/dHCdLAGh_normal.jpg,1478520141759406081,"{'followers_count': 133, 'following_count': 239, 'tweet_count': 3789, 'listed_count': 3}","West Jordan, UT","{'description': {'hashtags': [{'start': 51, 'end': 57, 'tag': 'SSDGM'}]}}"
6,False,Mark Welland,55883290,Digital/Tech consultant. West Ham Utd fan ⚒️ Amateur runner & DIY-er. Science & Tech geek. Trying not to take life too seriously 😆,wellandm,,False,https://pbs.twimg.com/profile_images/936345257842761729/yDZrWwPi_normal.jpg,,"{'followers_count': 299, 'following_count': 906, 'tweet_count': 3279, 'listed_count': 18}",St Albans,
7,False,☻ bigs | ODDINARY 🔩,1320534374203432962,"If i ever make you uncomfortable please tell me or do what feels right for u , and if im ever following someone bad pls tell me",bigsybubs,,False,https://pbs.twimg.com/profile_images/1511865683042349063/mSnCwGul_normal.jpg,1515072675269550080,"{'followers_count': 126, 'following_count': 240, 'tweet_count': 20060, 'listed_count': 3}",Minor (15) - She/Her - White,
8,False,あくあ,804427746,"成人済 文字書き初心者 shipper/右貘,ハル貘,ガク蜂/右ボ/35,LOK/🍽レマ/刀(雑多)etc… 🚨にょた化/百合も好き ☞2.5系隔離→@aqua_kakuri",akua_cat,https://t.co/eTpNvGi9ve,False,https://pbs.twimg.com/profile_images/1504320013037019140/NDArsPo3_normal.jpg,,"{'followers_count': 450, 'following_count': 465, 'tweet_count': 87727, 'listed_count': 23}",アイコンは#picrew様より,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/eTpNvGi9ve', 'expanded_url': 'https://www.pixiv.net/users/65561730', 'display_url': 'pixiv.net/users/65561730'}]}, 'description': {'mentions': [{'start': 75, 'end': 87, 'username': 'aqua_kakuri'}]}}"
9,False,Shawn Pasternak,49755718,"DC is a vicious, vicious place. The attacks, the badmouthing, the speaking behind your back. But, you know, and in my way, I feel very comfortable here.",ShawnCP92,https://t.co/fbackQMSDk,False,https://pbs.twimg.com/profile_images/1201677145992511488/XapUwh00_normal.jpg,925373317145604098,"{'followers_count': 1096, 'following_count': 2760, 'tweet_count': 72494, 'listed_count': 55}",Started from the Foggy Bottom,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/fbackQMSDk', 'expanded_url': 'http://nyti.ms/NVZPDW', 'display_url': 'nyti.ms/NVZPDW'}]}}"
