,protected,verified,id,description,name,profile_image_url,url,public_metrics,username,entities,location,pinned_tweet_id
0,False,False,930479318282543104,"Rocket Scientist, not really, just in my mind. I like crypto but crypto dont like me. sherlockhomeslice.eth",Sir Sherlock Homeslice,https://pbs.twimg.com/profile_images/1493775021344378889/EFkW8zPo_normal.jpg,,"{'followers_count': 95, 'following_count': 737, 'tweet_count': 1694, 'listed_count': 6}",Sherlockhomesli,,,
1,False,False,489811746,Músico. Profesor. Friki.,Joseto,https://pbs.twimg.com/profile_images/434629331093319680/XwzLhJkN_normal.jpeg,https://t.co/kG1fUZSNlB,"{'followers_count': 137, 'following_count': 448, 'tweet_count': 1047, 'listed_count': 0}",joseto_mdp,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/kG1fUZSNlB', 'expanded_url': 'http://musicaymascosas.blogspot.com', 'display_url': 'musicaymascosas.blogspot.com'}]}}",,
2,False,False,174407803,"Lover of animals, hater of cruelty, @49ers fan, happily married to my wonderful husband. Mother to a beautiful red-haired wee girl.",Casey Fair,https://pbs.twimg.com/profile_images/1458234598345822210/KMSwp5Js_normal.jpg,,"{'followers_count': 16, 'following_count': 74, 'tweet_count': 1201, 'listed_count': 0}",Casey_Fair,"{'description': {'mentions': [{'start': 36, 'end': 42, 'username': '49ers'}]}}","East Kilbride,Scotland",
3,False,False,1424897088450613250,burn your clothes. open the wine. close your eyes. freeze time. | rip @ yungxsnoy,michelle⚢,https://pbs.twimg.com/profile_images/1469500123650605059/8eQs3hiB_normal.jpg,,"{'followers_count': 127, 'following_count': 354, 'tweet_count': 4631, 'listed_count': 1}",lesboski,,22 • they/she • lesbian,1501781935579963393
4,False,False,27066514,It is hard work and great art to make life not so serious. - John Irving,Suzanne ✌🏼,https://pbs.twimg.com/profile_images/574992283004727296/VsWGwYqd_normal.jpeg,,"{'followers_count': 467, 'following_count': 1601, 'tweet_count': 24555, 'listed_count': 22}",bibliozee,,"[DFW], Texas",804212783625670656
5,False,False,386160167,"Old enough to remember sanity prevailing.

The CON-LAB alliance can go to hell for imposing Brexshit on us, and take the idiotic FPTP with them!

European 🇪🇺",R.pert🇪🇺🇺🇦🇵🇱🇱🇹🇱🇻🇪🇪🇫🇮forin despondent,https://pbs.twimg.com/profile_images/1477627173859053568/Z_QeF6IE_normal.png,,"{'followers_count': 2083, 'following_count': 2073, 'tweet_count': 28371, 'listed_count': 1}",R007pert,,"Sinking Island, North Atlantic",1450153357516099584
6,False,False,1977668149,"Senior Lecturer in Nursing. Academic lead for Chesterfield Royal Hospital @UniDerbyNursing @DerbyUni Mum, godmum , cat mum, chicken mum, cook, cyclist, nerd...",Julie Rowe,https://pbs.twimg.com/profile_images/1491058735762087936/lPz4jM5U_normal.jpg,,"{'followers_count': 1387, 'following_count': 1427, 'tweet_count': 3344, 'listed_count': 3}",JulieR40,"{'description': {'mentions': [{'start': 74, 'end': 90, 'username': 'UniDerbyNursing'}, {'start': 91, 'end': 100, 'username': 'DerbyUni'}]}}",,
7,False,False,1148364570236469248,"☔ she/her - writer of many things “” 
🍀 leo sun / aquarius moon / scorpio rising
⛈️ it didn't kill me to lose you i just thought that it might - phantom pain",𝐃𝐚𝐧𝐢 (𝐓𝐚𝐲𝐥𝐨𝐫'𝐬 𝐕𝐞𝐫𝐬𝐢𝐨𝐧),https://pbs.twimg.com/profile_images/1508025352035131397/yjt71EFA_normal.jpg,https://t.co/oh3KMhnDER,"{'followers_count': 37, 'following_count': 105, 'tweet_count': 1620, 'listed_count': 1}",s_mmerrit,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/oh3KMhnDER', 'expanded_url': 'https://tvtime.com/r/1HJNS', 'display_url': 'tvtime.com/r/1HJNS'}]}}",broadway,1503979628523921408
8,False,False,202351793,,peggy v bradley,https://pbs.twimg.com/profile_images/1435557286/profile_normal.jpg,,"{'followers_count': 17, 'following_count': 90, 'tweet_count': 3885, 'listed_count': 0}",sallyrider11,,,
9,False,False,3233870972,Agnès Varda enjoyer,Ale,https://pbs.twimg.com/profile_images/1471241634226622466/2k22fapV_normal.jpg,https://t.co/GShhxQoynb,"{'followers_count': 552, 'following_count': 397, 'tweet_count': 38429, 'listed_count': 1}",Not_Alee,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/GShhxQoynb', 'expanded_url': 'http://letterboxd.com/not_ale', 'display_url': 'letterboxd.com/not_ale'}]}}",La terreta,1504207217150644224
