,description,id,url,name,profile_image_url,public_metrics,verified,username,protected,location,pinned_tweet_id,entities
0,,3682320080,,ticklemywhimsy,https://pbs.twimg.com/profile_images/1102211613279498240/aaE3kcFr_normal.jpg,"{'followers_count': 23, 'following_count': 115, 'tweet_count': 724, 'listed_count': 0}",False,ticklywhimsy,False,,,
1,母父キングヘイローは一流だし、キングの瞳は澄んでいる/パンサラッサは令和のツインターボでもサイレンススズカでもなくパンサラッサ/オセアニアじゃあ常識なのよ,702775179370303488,,ポンポ・パカン,https://pbs.twimg.com/profile_images/990009782655315968/4FXez_KO_normal.jpg,"{'followers_count': 135, 'following_count': 2393, 'tweet_count': 8938, 'listed_count': 1}",False,2pkx2,False,在宅強火営業圧倒的勝利の粒,1507856556116774913,
2,やっぱりJavaが好き（はーと,25451289,https://t.co/sNf4oOFFsd,エキゾーストマニホールド,https://pbs.twimg.com/profile_images/1708094527/image_normal.JPG,"{'followers_count': 190, 'following_count': 305, 'tweet_count': 15928, 'listed_count': 17}",False,yanagin,False,東京の南西の方,926414060479946752,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/sNf4oOFFsd', 'expanded_url': 'http://d.hatena.ne.jp/n593977/', 'display_url': 'd.hatena.ne.jp/n593977/'}]}}"
3,"Landscape-photos, Weather-watcher, Science-stories. Hockey fan. Hiker, Cross-country skier, Backcountry explorer, Saskatchewan Family-man. TV & Music too.",213528909,,Hank Vlietstra,https://pbs.twimg.com/profile_images/973763296602898433/WwFuk-a9_normal.jpg,"{'followers_count': 2431, 'following_count': 4838, 'tweet_count': 91540, 'listed_count': 237}",False,FlatlanderHank,False,small-town Saskatchewan,1451412836572352516,
4,try walking in my shoes..,708740516,,Enes Berkay Kumtepe,https://pbs.twimg.com/profile_images/984463990519681026/WGuwc0gk_normal.jpg,"{'followers_count': 87, 'following_count': 102, 'tweet_count': 642, 'listed_count': 0}",False,eberkayk5,False,İstanbul-Eskişehir-Manisa,,
5,"Les palmes remisées, l'aventure au galop 🐎🐎🐎...",233454871,,Vince,https://pbs.twimg.com/profile_images/1233001149952929793/1PMF7CqQ_normal.jpg,"{'followers_count': 270, 'following_count': 1168, 'tweet_count': 16944, 'listed_count': 2}",False,Vincensiu2a,False,Aiacciu ,1493512192330805248,
6,"Sightseer (U.S. & Europe) | Foodie | Travel souvenir magnet collector (265+)
https://t.co/ceyN3lNd70",15464687,https://t.co/eOPWdVQQUc,Yummies 4 Tummies,https://pbs.twimg.com/profile_images/1491291839017758723/OmK9770e_normal.jpg,"{'followers_count': 1248, 'following_count': 655, 'tweet_count': 87253, 'listed_count': 34}",False,yummies4tummies,False,Germany,1521729168056193024,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/eOPWdVQQUc', 'expanded_url': 'http://yummies4tummies.com/', 'display_url': 'yummies4tummies.com'}]}, 'description': {'urls': [{'start': 77, 'end': 100, 'url': 'https://t.co/ceyN3lNd70', 'expanded_url': 'https://www.youtube.com/user/YummiesTummies/videos', 'display_url': 'youtube.com/user/YummiesTu…'}]}}"
7,Qué va a perseguirte si no tienes pasado,27936494,,evlum,https://pbs.twimg.com/profile_images/1048764549606858752/QgjHyG8m_normal.jpg,"{'followers_count': 74, 'following_count': 298, 'tweet_count': 724, 'listed_count': 0}",False,evlum,False,Cáceres,,
8,"Author Taltos ❤️BLM LGBTQQIAAP AAPI❤️ Wrestling fan 🛸 Paranormal person, It’s all about the love, she/they/he",913324478213521409,,Vivienne Howl is Vaccinated & Boosted,https://pbs.twimg.com/profile_images/1485199158642364418/Ns7pEhro_normal.jpg,"{'followers_count': 84, 'following_count': 619, 'tweet_count': 1947, 'listed_count': 0}",False,VivienneHowl,False,"Someplace creepy, probably",1384228432439955459,
9,be grateful everyday,810910764,,.,https://pbs.twimg.com/profile_images/1489941956041920512/jGHJ-5mZ_normal.jpg,"{'followers_count': 14009, 'following_count': 235, 'tweet_count': 1558, 'listed_count': 89}",False,xrpclover,False,☼ ☾✩,,
10,21✨ Psicología 📚.,3045867105,,Mery Saibari,https://pbs.twimg.com/profile_images/1430975472167440397/w4Kusc4a_normal.jpg,"{'followers_count': 227, 'following_count': 359, 'tweet_count': 3348, 'listed_count': 0}",False,Maria_S8,False,"Madrid, Comunidad de Madrid",,
11,ガンバ大阪とBayern Münchenとモータースポーツを好きな人。,53642502,,ガリオネ,https://pbs.twimg.com/profile_images/946174850355228673/zw2aqh8c_normal.jpg,"{'followers_count': 328, 'following_count': 826, 'tweet_count': 78230, 'listed_count': 0}",False,garion54,False,大阪府いばらきし,,
12,"Sports Marketing Consultant | Food, Bollywood Movie and Politics Guy | Engg-Mgmt etc as well | IIM Calcutta Alumnus",305201931,,Al Mango Baba,https://pbs.twimg.com/profile_images/1501512153127399428/tBD9u-8v_normal.jpg,"{'followers_count': 498, 'following_count': 279, 'tweet_count': 14642, 'listed_count': 18}",False,KommmanMan,False,Seikh Land!! ,635018332668694528,
13,"Ütopyalar, şimdiki zaman mutsuzları içindir",467706715,,Tolstoyevski,https://pbs.twimg.com/profile_images/1091259737465860097/1X99r01G_normal.jpg,"{'followers_count': 1581, 'following_count': 741, 'tweet_count': 20963, 'listed_count': 5}",False,RasitGider,False,"İzmir, Türkiye",1497859143213977600,
14,"Poet, writer, editor | fmr associate editor @TulikaBooks | Russian lang & lit learner | she/her/hers | #booktwitter #literarytwitter #filmtwitter",18547627,https://t.co/gxHR7Z1LQG,Moushumi Ghosh 📚,https://pbs.twimg.com/profile_images/1507445234086875137/0hGUQLZG_normal.jpg,"{'followers_count': 761, 'following_count': 965, 'tweet_count': 5352, 'listed_count': 28}",False,Mou_shumi,False,"Chennai/Kolkata, India",1496879256361574402,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/gxHR7Z1LQG', 'expanded_url': 'https://boxd.it/3kCXX', 'display_url': 'boxd.it/3kCXX'}]}, 'description': {'hashtags': [{'start': 103, 'end': 115, 'tag': 'booktwitter'}, {'start': 116, 'end': 132, 'tag': 'literarytwitter'}, {'start': 133, 'end': 145, 'tag': 'filmtwitter'}], 'mentions': [{'start': 44, 'end': 56, 'username': 'TulikaBooks'}]}}"
15,Believer in Web3 gaming. Axie | PizzaGame,1423459270134272002,,0xfrogprince 🍕🥤| Play2Earn Canada,https://pbs.twimg.com/profile_images/1466967005605642242/UJ01TRfv_normal.jpg,"{'followers_count': 427, 'following_count': 552, 'tweet_count': 643, 'listed_count': 3}",False,play2earncanada,False,The Metaverse,1425841655702249477,
16,"Aquí hai patacas, coseecha progpia.
Para que depois MUITOS dijan que num se TRABALHA,
no trabalha o quem no querem, o que no lle da a jhana
pero AQUI SE NOTA",262855800,,Iván Calvete,https://pbs.twimg.com/profile_images/625425506855460864/wwFtZPHY_normal.jpg,"{'followers_count': 167, 'following_count': 255, 'tweet_count': 28604, 'listed_count': 7}",False,Ivk_25,False,Quinto Pino,1251998385441210368,
17,In remission (BC) dogs alpacas ducks & devil cat ALP voter for life & fully vaccinated FED UP with the tin foil hat antivaxers & detest Lib/Nats  No DMs please,1025663997087862784,,Miss Digby/Dinotabot,https://pbs.twimg.com/profile_images/1509688131733262365/oWVPoS-s_normal.jpg,"{'followers_count': 252, 'following_count': 484, 'tweet_count': 3986, 'listed_count': 0}",False,DigbyMiss,False,"Western Australia, Australia",,
18,there are certain rules that one must abide by in order to successfully survive a horror movie,815205776,https://t.co/xQIKvQwyki,j a d e,https://pbs.twimg.com/profile_images/1466155013689036811/pNK0zlge_normal.jpg,"{'followers_count': 150, 'following_count': 51, 'tweet_count': 1564, 'listed_count': 2}",False,xxjadeevans,False,Newcastle Upon Tyne,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/xQIKvQwyki', 'expanded_url': 'http://teastainsandbookspines.home.blog', 'display_url': 'teastainsandbookspines.home.blog'}]}}"
19,US/UK TV Drama enthusiast. 海外ドラマ、SF、スタートレック、模型、誤字脱字ななど。信仰はゲイツ教徒Microsoft派。,36653360,http://t.co/0LtOO0OKUL,Gasoline,https://pbs.twimg.com/profile_images/378800000784754773/9f50551ad81edc7b8e4425d1cfd79a64_normal.png,"{'followers_count': 585, 'following_count': 468, 'tweet_count': 51574, 'listed_count': 0}",False,debabocho,False,"Setagaya-ku, Tokyo",,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/0LtOO0OKUL', 'expanded_url': 'http://farsite.hatenablog.com/', 'display_url': 'farsite.hatenablog.com'}]}}"
20,Professional,78016581,,nsmurty,https://pbs.twimg.com/profile_images/1281071274731597825/KXIDXcAf_normal.jpg,"{'followers_count': 52, 'following_count': 60, 'tweet_count': 769, 'listed_count': 0}",False,iamnsmurty,False,"Hyderabad, Union of States",,
21,,1459273383334629378,,Terry Grams,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"{'followers_count': 2, 'following_count': 195, 'tweet_count': 67, 'listed_count': 8}",False,GramsTerry,False,,,
