,protected,name,verified,location,id,public_metrics,url,profile_image_url,username,description,entities,pinned_tweet_id
0,False,Devon Arellano,False,"Utah, USA",866677946,"{'followers_count': 334, 'following_count': 679, 'tweet_count': 2504, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1022674028064993280/BoHcSKpH_normal.jpg,DevonArellano14,Weber State ‘19. BS Political Science. SUU MPA ‘21. Go Jazz #takenote,"{'description': {'hashtags': [{'start': 60, 'end': 69, 'tag': 'takenote'}]}}",
1,False,David Dunham,False,"Tacoma, WA",137786115,"{'followers_count': 799, 'following_count': 205, 'tweet_count': 12030, 'listed_count': 36}",https://t.co/TFh2W5bdK9,https://pbs.twimg.com/profile_images/528605382453641216/MLw7vKBR_normal.jpeg,radiofreelunch,Software and game designer (see @KingDragonPass and @SixAges),"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/TFh2W5bdK9', 'expanded_url': 'http://www.pensee.com/dunham/', 'display_url': 'pensee.com/dunham/'}]}, 'description': {'mentions': [{'start': 32, 'end': 47, 'username': 'KingDragonPass'}, {'start': 52, 'end': 60, 'username': 'SixAges'}]}}",
2,False,Maddy Mania 🇮🇳,False,New Delhi,46828248,"{'followers_count': 2170, 'following_count': 921, 'tweet_count': 38488, 'listed_count': 38}",,https://pbs.twimg.com/profile_images/1458722233858228227/iaRV6_XH_normal.jpg,saanuki11,"Ambitious & passionate to the T as you get to live only once. Bollywood, Advertising & Marketing, Travelling, Reading, & Music makes my life merry go round.",,
3,False,charlie | #LeniKiko2022,False,PLM 🦅,1007632363923226624,"{'followers_count': 1166, 'following_count': 412, 'tweet_count': 7463, 'listed_count': 1}",,https://pbs.twimg.com/profile_images/1519754824467640320/Ifc6Qiy6_normal.jpg,charlespogiiii,He/Him. God’s masterpiece. Future CPA/Lawyer! ⚖,,1502694643191857153
4,False,혼돈,False,프사앤캐(행복한 봄 되세요),2464309734,"{'followers_count': 559, 'following_count': 339, 'tweet_count': 353497, 'listed_count': 2}",https://t.co/lAY1r22XcT,https://pbs.twimg.com/profile_images/1521773374715744256/SCEnq3t7_normal.jpg,keangae,킴게 | 성인 | 매우 잡덕 | FUB Free | 비팔 알림 off 상태 | 🎗 | 🏳️‍🌈 | ⚛️ | 🇺🇦 | 슬.팬.씨 | 커미계 @keangae_com | 💚💛 🖤❤️ 🖤💛,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/lAY1r22XcT', 'expanded_url': 'http://m.blog.naver.com/keangae2', 'display_url': 'm.blog.naver.com/keangae2'}]}, 'description': {'mentions': [{'start': 77, 'end': 89, 'username': 'keangae_com'}]}}",1466098188247465990
5,False,소피아,False,"Tamil Nadu, India",2415277284,"{'followers_count': 1116, 'following_count': 4862, 'tweet_count': 11222, 'listed_count': 2}",,https://pbs.twimg.com/profile_images/1250533229360148483/0e53xOrI_normal.jpg,SofiaMickeyK,:),,1365212214236389379
6,False,Jasbir S. Randhawa,False,"Chandigarh, India",103007226,"{'followers_count': 1178, 'following_count': 371, 'tweet_count': 9524, 'listed_count': 18}",https://t.co/NVqZANXg4F,https://pbs.twimg.com/profile_images/1205198651569520640/XDiYE9Th_normal.jpg,jasbirsrandhawa,"Bird & Nature Photographer. Gentleman@Large
All birds photographed by me in their natural habitat. None are captive birds. 697 Bird Species captured so far...","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/NVqZANXg4F', 'expanded_url': 'https://linktr.ee/jsr1970', 'display_url': 'linktr.ee/jsr1970'}]}}",
7,False,しゅと伍長🎖オルカン軍🌎,False,SIDE3,1379752209873702917,"{'followers_count': 1579, 'following_count': 707, 'tweet_count': 2724, 'listed_count': 13}",https://t.co/r0un7A8e5q,https://pbs.twimg.com/profile_images/1379752387691257864/zB4aE6Iv_normal.jpg,aoshoot0509,インデックス投資💰コアeMAXIS Slim全世界株式(オールカントリー)🌏2021年10月22日オルカン軍配属🌍含み益100万円増ごとに昇格予定🔥3月28日再び二等兵から一等兵に昇格👍4月20日伍長昇格👍目指せ軍曹⭐️iDeCoは楽天VTI🇺🇸楽天でふるさと納税®️脳神経外科専門医,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/r0un7A8e5q', 'expanded_url': 'http://aoshoot.com', 'display_url': 'aoshoot.com'}]}}",1450397308818915329
8,False,ignacioariznavarreta,False,Burgos. España,511668856,"{'followers_count': 654, 'following_count': 1224, 'tweet_count': 1397, 'listed_count': 15}",,https://pbs.twimg.com/profile_images/1866775957/image_normal.jpg,ijariznavarreta,"Quod tibi fieri non vis, alteri ne feceris.",,
9,False,Mark Easterbrook,False,Auckland,98480854,"{'followers_count': 1837, 'following_count': 1979, 'tweet_count': 15188, 'listed_count': 32}",https://t.co/1yJpohUsGQ,https://pbs.twimg.com/profile_images/1094877007865819137/GmWrc6FL_normal.jpg,markeasterbrook,"Pākehā. Doing creative things for brands with words and ideas, plus a healthy dose of charitable and cultural stuff. Going West Fest official cheerleader.","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/1yJpohUsGQ', 'expanded_url': 'http://www.easterbrook.co.nz', 'display_url': 'easterbrook.co.nz'}]}}",
