,verified,description,protected,url,public_metrics,entities,profile_image_url,pinned_tweet_id,name,id,username,location
0,False,"丑年親子🐮#2021sep_baby/IVFを経て出産/実家疎遠,夫育休なしワンオペ/産後クライシス克服中/#夫を憎まずにすむ方法メモ/補完食/幼稚園まで自宅保育/スーパーとdancyuが好き",False,https://t.co/LYAG0uAH4e,"{'followers_count': 124, 'following_count': 127, 'tweet_count': 1860, 'listed_count': 1}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/LYAG0uAH4e', 'expanded_url': 'https://room.rakuten.co.jp/room_po_n_ta/items', 'display_url': 'room.rakuten.co.jp/room_po_n_ta/i…'}]}, 'description': {'hashtags': [{'start': 5, 'end': 18, 'tag': '2021sep_baby'}, {'start': 54, 'end': 67, 'tag': '夫を憎まずにすむ方法メモ'}]}}",https://pbs.twimg.com/profile_images/1438277922247385092/oJ7Y_zZL_normal.jpg,1472504483196579852,ぽんた🥨7m,1205521785363390464,4sVB6b15O8xvbKR,
1,False,,False,,"{'followers_count': 286, 'following_count': 686, 'tweet_count': 65137, 'listed_count': 5}",,https://pbs.twimg.com/profile_images/1134677890258395136/BLmHpyv4_normal.jpg,,Héctor García,150880387,SoyElDelRincon,"Bogotá, Colombia"
2,False,🏳️‍🌈 || multifandom || artist || nonbinary dave enthusiast || ic: @blueycapsules matching w/ @ satthen,False,,"{'followers_count': 82, 'following_count': 365, 'tweet_count': 3395, 'listed_count': 5}","{'description': {'mentions': [{'start': 66, 'end': 80, 'username': 'blueycapsules'}]}}",https://pbs.twimg.com/profile_images/1521265337743851525/NikYe5aC_normal.jpg,1514011541322018823,## f: kurt || aftonbuilt aftonbuilt,1218357531896139777,lemondemonade,it/its he/him
3,False,ISTJ | In-game name: Somtuiz | Dormire quam superare | #Ingress #ENLBKK | เป็นไอ้แว่นที่ไม่ได้เป็นสัตวแพทย์ since 2014 | ตัวประกอบใน #คุณหมอขา,False,,"{'followers_count': 9249, 'following_count': 248, 'tweet_count': 139544, 'listed_count': 18}","{'description': {'hashtags': [{'start': 55, 'end': 63, 'tag': 'Ingress'}, {'start': 64, 'end': 71, 'tag': 'ENLBKK'}, {'start': 133, 'end': 142, 'tag': 'คุณหมอขา'}]}}",https://pbs.twimg.com/profile_images/1509600113471389696/F3zuTGiP_normal.jpg,679690122552446977,สมตุ้ย ,2872386426,st_runth,
4,False,創作とかゲームとかTRPGとか,False,,"{'followers_count': 95, 'following_count': 102, 'tweet_count': 40372, 'listed_count': 6}",,https://pbs.twimg.com/profile_images/1379814324839981061/dH-CoLcM_normal.jpg,,からすば,2527384213,karasu947,お布団
5,False,,False,,"{'followers_count': 29, 'following_count': 188, 'tweet_count': 4830, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1503401859209302016/KSctHzO4_normal.jpg,,🌈🎡nongdearja🎠🌸,3033791714,dearlis123,
6,False,もう八年ぐらい横浜に住んでいますが、3日住んだらハマっこだというのに、どんどんハマっこには永遠になれないのではないかと思い始めてる未開の地グンマー出身。しかし、こっちで訛ってるとか言われたことなく、むしろグンマーの人とかに訛ってるとか言われてたこと思い出したw,False,,"{'followers_count': 96, 'following_count': 149, 'tweet_count': 11660, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/596421245853274113/5TQ1THn-_normal.jpg,1489515729778970624,しんらまんぞう,143994577,manzzo_shinlato,"いまは群馬じゃないみたい。
"
7,False,that/bean | 2006 Time’s Magazine Man of the Year | God’s Greatest Creation,False,,"{'followers_count': 11, 'following_count': 510, 'tweet_count': 1810, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1369763050585157633/o6uZj9Js_normal.jpg,,Bavi Bardem,2920138507,Bavi_Brown,Fat Albert’s Junkyard
8,False,"#KANATA: Puka, puka…♪ | ENG 中文🆗 | Enstars side acc 🍂 | EichiP + RyuseitaiP 🍃 | @zyenart (Art), @doubleangstside (Main) 🌼 |  Read rentry byf 🌸",False,https://t.co/VEcnSUMSkz,"{'followers_count': 222, 'following_count': 379, 'tweet_count': 31267, 'listed_count': 3}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/VEcnSUMSkz', 'expanded_url': 'https://rentry.co/ensembleangst', 'display_url': 'rentry.co/ensembleangst'}]}, 'description': {'hashtags': [{'start': 0, 'end': 7, 'tag': 'KANATA'}], 'mentions': [{'start': 79, 'end': 87, 'username': 'zyenart'}, {'start': 95, 'end': 111, 'username': 'doubleangstside'}]}}",https://pbs.twimg.com/profile_images/1519374855652937728/YjJ2aCL__normal.jpg,1419530277357985796,Yen 🔥 2.54m/3.0m,1419147200026714119,ensembleangst,20 | She/Her | 🇸🇬 GMT+8
9,False,26,False,https://t.co/Ha8a7cGaGy,"{'followers_count': 118, 'following_count': 165, 'tweet_count': 3761, 'listed_count': 0}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Ha8a7cGaGy', 'expanded_url': 'http://instagram.com/syafiq_q', 'display_url': 'instagram.com/syafiq_q'}]}}",https://pbs.twimg.com/profile_images/1392789740911415296/EmSDM8_5_normal.jpg,1495287064790990851,Syafiq 🍉,349561947,syafiq_que,
