,verified,description,protected,url,public_metrics,location,profile_image_url,pinned_tweet_id,name,id,username,entities
0,False,,False,,"{'followers_count': 882, 'following_count': 731, 'tweet_count': 39232, 'listed_count': 1}",Colorado✌,https://pbs.twimg.com/profile_images/1477417187618918400/EYpYwS2G_normal.jpg,1405231074351984652,Peaky Fookin’ Blinder,48895616,BEEstroyer,
1,False,一児の母(🐘10m、修正7m)。娯楽大好き。ゲームとアニメは何年経っても大好き。映画も音楽も好き。最近は生活のこと中心になりつつ、時々ゲームのこと。無言フォローや通りすがりいいね失礼します。人見知りのためリプ少なめです、すみません…！ゲームはウマ娘、ガデテル,False,,"{'followers_count': 50, 'following_count': 153, 'tweet_count': 2093, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/950561928002220033/l0xGPYMt_normal.jpg,,すずこ/みしぇこ,207134294,isotope_leon,
2,False,"God, Family, Country. Happily married to my soul mate with four boys! #mamabear #boymom #hockeylover",False,,"{'followers_count': 11723, 'following_count': 11537, 'tweet_count': 44893, 'listed_count': 3}",Mayberry ,https://pbs.twimg.com/profile_images/1475875587415814156/Eq6C408O_normal.jpg,1459619848288407556,Crys❤️Pens/Steelers,3827140457,PensCrys,"{'description': {'hashtags': [{'start': 70, 'end': 79, 'tag': 'mamabear'}, {'start': 80, 'end': 87, 'tag': 'boymom'}, {'start': 88, 'end': 100, 'tag': 'hockeylover'}]}}"
3,False,Nexialist / Intensivist / Health Tech Assessment/Thanatologist/ Fish / Bees / Free (levo) Radical / Personal views / Born @ 311 ppm.,False,,"{'followers_count': 1162, 'following_count': 1842, 'tweet_count': 21102, 'listed_count': 11}","Auckland, New Zealand",https://pbs.twimg.com/profile_images/1241092143139045376/xl3mNEsn_normal.jpg,1242506622296936448,Stephen Streat,1476110112,stephen_streat,
4,False,大手IT企業で管理職 | 30代 | プロダクトマネージャ | サラリーマン投資家 | AFP保有 | マーケティング | ビジネス企画＆立上げ | 海外駐在 | 海外留学 | お酒 | 健康 |,False,,"{'followers_count': 2277, 'following_count': 1578, 'tweet_count': 355, 'listed_count': 10}",東京 渋谷区,https://pbs.twimg.com/profile_images/1159037892028579840/n4S-JZQt_normal.jpg,,fundcottage,3683057791,fundcottage,
5,False,,False,,"{'followers_count': 132, 'following_count': 314, 'tweet_count': 5188, 'listed_count': 0}",,https://pbs.twimg.com/profile_images/1493709850215600128/XKudT5Bs_normal.jpg,,MUBy 🇵🇸,2703477355,AHMDMBRK,
6,False,Viajo todo lo que puedo y sobrevivo ☀️,False,https://t.co/fFXAvm8DOe,"{'followers_count': 79, 'following_count': 198, 'tweet_count': 1074, 'listed_count': 4}",Spain,https://pbs.twimg.com/profile_images/823431821903831041/PvETYT76_normal.jpg,,Mandarina Trips,3342897239,MandarinaTrips,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/fFXAvm8DOe', 'expanded_url': 'http://www.youtube.com/mandarinatrips', 'display_url': 'youtube.com/mandarinatrips'}]}}"
7,False,don’t take anything on here seriously 🦦,False,https://t.co/8o4Rz9QrOc,"{'followers_count': 128, 'following_count': 87, 'tweet_count': 38070, 'listed_count': 0}",NYC,https://pbs.twimg.com/profile_images/1519738892664061953/2g2RGiD2_normal.jpg,,jenn,759834207313076224,jxqxx,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/8o4Rz9QrOc', 'expanded_url': 'http://instagram.com/j.quin__', 'display_url': 'instagram.com/j.quin__'}]}}"
8,False,,False,,"{'followers_count': 34, 'following_count': 200, 'tweet_count': 1653, 'listed_count': 2}",,https://pbs.twimg.com/profile_images/1447285584817532939/3Upi4TE5_normal.jpg,,andrea g,1179429522,AndieNY70,
9,False,creator of thought free words surrounded by succulent verbiage of inconsequential meaning. an involute muddlehead,False,,"{'followers_count': 1165, 'following_count': 1119, 'tweet_count': 130145, 'listed_count': 0}","California, USA",https://pbs.twimg.com/profile_images/1415061040551710721/oGIu72d-_normal.jpg,,James Neville,355614310,rustysiding,
