,description,id,url,name,profile_image_url,public_metrics,location,verified,username,protected,entities,pinned_tweet_id
0,"Christian, heart attack survivor, ham radio, running.",18638927,,Steve Hailstone (KB9CNN),https://pbs.twimg.com/profile_images/480831654001258496/XiYIk3hV_normal.jpeg,"{'followers_count': 95, 'following_count': 173, 'tweet_count': 1893, 'listed_count': 14}","Quakertown, PA",False,Pennsteven,False,,
1,"Antes usaba esta cuenta para escribir frases de canciones. Ahora huyo de...TI, parvx.",1427683457681997827,,Sie7e 🛰️,https://pbs.twimg.com/profile_images/1521100987385196545/Tvsf9-SB_normal.jpg,"{'followers_count': 55, 'following_count': 107, 'tweet_count': 1317, 'listed_count': 0}",,False,trasquilon,False,,
2,"Science Man by day, variety streamer whenever possible on Twitch | Let's interact :) | Domes03 on all things social media|",3107937511,https://t.co/aav6bSh5rK,J.D.,https://pbs.twimg.com/profile_images/1278530235508551680/gHueA93b_normal.jpg,"{'followers_count': 35, 'following_count': 91, 'tweet_count': 948, 'listed_count': 3}",,False,domes03,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/aav6bSh5rK', 'expanded_url': 'https://www.twitch.tv/domes03', 'display_url': 'twitch.tv/domes03'}]}}",
3,20 • she¡her • 𓅓 • gnarlytwt • bbtwt • snaketwt,1264033844820393985,https://t.co/LokkZzNhd0,mimiᶜ🥀,https://pbs.twimg.com/profile_images/1508392427748573195/nmG-AytH_normal.jpg,"{'followers_count': 1308, 'following_count': 329, 'tweet_count': 55829, 'listed_count': 68}",nsfw sometimes • weow • XIII,False,corpseovo,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/LokkZzNhd0', 'expanded_url': 'http://cosmo.xn--c6h', 'display_url': 'cosmo.♡'}]}}",1506026181824557066
4,,267211630,,Carmen Rosendo,https://pbs.twimg.com/profile_images/999585742924869632/5j5Z6kft_normal.jpg,"{'followers_count': 97, 'following_count': 686, 'tweet_count': 858, 'listed_count': 2}",Sevilla,False,Carmenrv70,False,,
5,"Through the darkness of future past, the magician longs to see, one chants between two worlds, fire walk with me | Taylor / Dreamcatcher / Zahara",135295001,http://www.lastfm.es/user/MistyCami,💜|| IN SOMNIA❁🔻🇮🇹🇬🇧🇳🇴🇸🇪🇷🇴🐺🚲🚀☎,https://pbs.twimg.com/profile_images/1294945445119221762/fksH_zqi_normal.jpg,"{'followers_count': 108, 'following_count': 542, 'tweet_count': 16101, 'listed_count': 3}",Taylor / Dreamcatcher / Zahara,False,Misty__Cami,False,"{'url': {'urls': [{'start': 0, 'end': 35, 'url': 'http://www.lastfm.es/user/MistyCami'}]}}",
6,,19456315,,Charles Welch,https://pbs.twimg.com/profile_images/2560162173/image_normal.jpg,"{'followers_count': 74, 'following_count': 164, 'tweet_count': 2389, 'listed_count': 0}",Crewe,False,sqwelch,False,,
7,"Féministe universaliste, irréligieuse, humour noir 
“En démocratie il est nécessaire q les gens apprennent à supporter q leurs sentiments soient outragés“",711497227294928897,,Alyss 42,https://pbs.twimg.com/profile_images/1490961134630887424/JZemrWfB_normal.jpg,"{'followers_count': 1582, 'following_count': 1971, 'tweet_count': 73973, 'listed_count': 49}",France 🇫🇷,False,Calyss11,False,,1513822553516785669
8,Soy Narcodictadorsocialcomunistabolivariano (según algunox)🍆🔻🍆,306374724,,tenebru 🔻,https://pbs.twimg.com/profile_images/1501653005522898956/JMHo_SUM_normal.jpg,"{'followers_count': 266, 'following_count': 674, 'tweet_count': 7001, 'listed_count': 1}",,False,antonioba13,False,,
9,⭐RIP Taylor Hawkins ⭐ #SeaKraken ⭐ #TeamPete ⭐ #BlackLivesMatter ⭐#BidenHarris ⭐ Georgia Tech ⭐ RIP George Floyd ⭐ RIP Hank Aaron ⭐ RIP John Prine ⭐ (He/Him),31085099,https://t.co/2TmBmpFSeq,durwood 🇺🇦🌻🇺🇸🏳️‍🌈🦑🐝😎🧦,https://pbs.twimg.com/profile_images/1436029041841086472/CUuf42oc_normal.jpg,"{'followers_count': 5295, 'following_count': 5839, 'tweet_count': 27043, 'listed_count': 0}","Seattle, WA",False,durwoodg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2TmBmpFSeq', 'expanded_url': 'https://letterboxd.com/durwood/', 'display_url': 'letterboxd.com/durwood/'}]}, 'description': {'hashtags': [{'start': 22, 'end': 32, 'tag': 'SeaKraken'}, {'start': 35, 'end': 44, 'tag': 'TeamPete'}, {'start': 47, 'end': 64, 'tag': 'BlackLivesMatter'}, {'start': 66, 'end': 78, 'tag': 'BidenHarris'}]}}",1352094543106064384
10,"I'm a fool, I know nothing. I take the role of a silly clown",1618316995,,Gwen,https://pbs.twimg.com/profile_images/1462307335813177346/vcDNbsYD_normal.jpg,"{'followers_count': 106, 'following_count': 790, 'tweet_count': 19964, 'listed_count': 1}",,False,GwenFonseca,False,,1483003572669370368
11,"Life is unfair, kill yourself or get over it......... =) ................ Fan de los collages de Kike Congrains: https://t.co/jt1BTL4PbA",15438301,http://t.co/k4Rr0xMZQG,Beggs,https://pbs.twimg.com/profile_images/378800000598642487/26260d47e6ced1a50fd59d9d30bc02f9_normal.png,"{'followers_count': 5018, 'following_count': 411, 'tweet_count': 167455, 'listed_count': 71}",Barcelona,False,La_Beggs,False,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/k4Rr0xMZQG', 'expanded_url': 'http://about.me/beggs', 'display_url': 'about.me/beggs'}]}, 'description': {'urls': [{'start': 113, 'end': 136, 'url': 'https://t.co/jt1BTL4PbA', 'expanded_url': 'https://www.instagram.com/canson_city/', 'display_url': 'instagram.com/canson_city/'}]}}",1488581130655875074
12,🙃,92460606,,Candy Land 🍭,https://pbs.twimg.com/profile_images/1521736066910273538/zOHKmNyM_normal.jpg,"{'followers_count': 2518, 'following_count': 308, 'tweet_count': 78588, 'listed_count': 3}","Pawnee, Indiana",False,LisatheSun_,False,,
13,"Kindness, use it. Mother,wife, friend, lover,human.",2550179403,,Andrea Dixon,https://pbs.twimg.com/profile_images/901788794034237441/8H_u5Vcg_normal.jpg,"{'followers_count': 14, 'following_count': 83, 'tweet_count': 151, 'listed_count': 0}",,False,andrea7392000,False,,
14,🎬,1481815742,https://t.co/2QIXZEPF38,Efepefer🇮🇨🇮🇹🇳🇱,https://pbs.twimg.com/profile_images/1482141641779654657/xbK79oAe_normal.jpg,"{'followers_count': 45, 'following_count': 983, 'tweet_count': 6400, 'listed_count': 0}",En Francia seguro que no,False,Fran_pg_,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/2QIXZEPF38', 'expanded_url': 'https://open.spotify.com/user/spotify/playlist/37i9dQZF1EptA3va6dIP2Q?si=5FTNebgnSzuBbOr0rx1VdQ', 'display_url': 'open.spotify.com/user/spotify/p…'}]}}",1271153404786675715
15,Empezando de cero.,1359240494031785991,,ulpianez,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"{'followers_count': 2, 'following_count': 47, 'tweet_count': 20, 'listed_count': 0}",,False,ulpianez,False,,
16,günün sonunda ne olursa olsun biz mutsuz ve yalnızız,269388920,,Mesut,https://pbs.twimg.com/profile_images/1459863972740481027/w3dsxZbV_normal.jpg,"{'followers_count': 400, 'following_count': 445, 'tweet_count': 16548, 'listed_count': 1}","İstanbul, Türkiye",False,mesutkmlclb,False,,1445031326705389577
