id,protected,verified,description,name,url,username,profile_image_url,public_metrics,pinned_tweet_id,location,entities
893776298958573568,False,False,,Rubén Andrés Felipe,,ruanfe02,https://pbs.twimg.com/profile_images/1491800893477425156/lTgRl5FU_normal.jpg,"{'followers_count': 106, 'following_count': 281, 'tweet_count': 324, 'listed_count': 0}",,,
156584790,False,False,"En un mundo de locos tener sentido no tiene sentido.

Maldita dulzura la mía 😍",ʎʇʇǝᙠ 😈,,Bettynha_1986,https://pbs.twimg.com/profile_images/1458163848263909380/msDaH_HS_normal.jpg,"{'followers_count': 204, 'following_count': 339, 'tweet_count': 19442, 'listed_count': 0}",1.4585370790009283e+18,"Galicia, España ❤",
1174750806324781056,False,False,,Aravind Parvathala,,aravindsvu,https://pbs.twimg.com/profile_images/1174751053671260162/CRkQg9k3_normal.jpg,"{'followers_count': 1, 'following_count': 8, 'tweet_count': 130, 'listed_count': 0}",,,
1044382386245402624,False,False,"カムトラ他垢。ギルド「寂しがりや協奏曲」元師範。 アイコンははるひろさん@4mo84mo8 からいただきました！ https://t.co/P5gBskteaW 
フレイドのカウチポテト（ブログ）https://t.co/sqwjsUpL22",フレイド@カムトラ休止,,tryplay1,https://pbs.twimg.com/profile_images/1250937865606795264/8jsR4Tpm_normal.jpg,"{'followers_count': 346, 'following_count': 433, 'tweet_count': 6095, 'listed_count': 1}",1.2509390580516618e+18,,"{'description': {'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/P5gBskteaW', 'expanded_url': 'http://twpf.jp/tryplay1', 'display_url': 'twpf.jp/tryplay1'}, {'start': 98, 'end': 121, 'url': 'https://t.co/sqwjsUpL22', 'expanded_url': 'http://tryplayflayed.blog.fc2.com', 'display_url': 'tryplayflayed.blog.fc2.com'}], 'mentions': [{'start': 36, 'end': 45, 'username': '4mo84mo8'}]}}"
112079727,False,False,,g ◡̈,,naughtyDH,https://pbs.twimg.com/profile_images/1135333942729428993/MYoOWcy__normal.jpg,"{'followers_count': 199, 'following_count': 105, 'tweet_count': 92569, 'listed_count': 1}",,,
1160130818678972416,False,False,🌹Sport ⚽ Music 🎵 Books 📚 Left of centre. Nostalgia Fi-Zee-Jacko hashtag games daily 2:30pm and 3:00pm on Sundays with @Zeddeee @rahhead01 + @MrFlibble72LFC🌹,Jacko,,albolt76,https://pbs.twimg.com/profile_images/1520897460129959936/zx1NoPer_normal.jpg,"{'followers_count': 15718, 'following_count': 15173, 'tweet_count': 292759, 'listed_count': 13}",1.5223479098276823e+18,,"{'description': {'mentions': [{'start': 118, 'end': 126, 'username': 'Zeddeee'}, {'start': 127, 'end': 137, 'username': 'rahhead01'}, {'start': 140, 'end': 155, 'username': 'MrFlibble72LFC'}]}}"
996133951864561664,False,False,(she/her)  soy fan de muchas cosas y de vez en cuando hago memes ✨,rα ✃,https://t.co/8m11nWDr31,1016wasabi,https://pbs.twimg.com/profile_images/1479565289884946433/MPFgjPy7_normal.jpg,"{'followers_count': 1225, 'following_count': 767, 'tweet_count': 87515, 'listed_count': 9}",1.43758521082103e+18,Genovia,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/8m11nWDr31', 'expanded_url': 'https://vm.tiktok.com/ZMRnCdUR2/', 'display_url': 'vm.tiktok.com/ZMRnCdUR2/'}]}}"
724778184,False,False,FAN ACCOUNT,𝕸,,lovatostefani,https://pbs.twimg.com/profile_images/1338458798575529984/_SHeHLT-_normal.jpg,"{'followers_count': 1498, 'following_count': 964, 'tweet_count': 28215, 'listed_count': 12}",,,
476766717,False,False,,Modra Finnia,,ModraFinnia,https://pbs.twimg.com/profile_images/1787220257/10728_139115935661_675400661_2760458_1776_n_1__normal.jpg,"{'followers_count': 15, 'following_count': 46, 'tweet_count': 1086, 'listed_count': 1}",,,
1494840279643607040,False,False,高校二年生競技かるたD級初段,壱福,,avan_evening,https://pbs.twimg.com/profile_images/1512364023299588097/2hiykWF4_normal.jpg,"{'followers_count': 87, 'following_count': 137, 'tweet_count': 74, 'listed_count': 0}",,宮城 仙台市 若林区,
24302452,False,False,"Mother 👩‍👦‍👦, Grandmother 👵, Retired WV teacher👩🏻‍🏫, 7th generation Appalachian⛰, Daughter of Marshall 🦬💚, Child of the King ✝️.",Brenda I.,,grade1teacherwv,https://pbs.twimg.com/profile_images/1512222529104011266/OXgxrz_T_normal.jpg,"{'followers_count': 98, 'following_count': 341, 'tweet_count': 1667, 'listed_count': 1}",,"Huntington, West Virginia",
786194851230519296,False,False,you ugly trick ass hoe,`,,kingsansastark,https://pbs.twimg.com/profile_images/1200737916311539712/DE5th0tt_normal.jpg,"{'followers_count': 46, 'following_count': 109, 'tweet_count': 6081, 'listed_count': 0}",,he/him,
34585196,False,False,"🇪🇺Milan native, straddling the Atlantic pond for 52 years & getting more used to it.// Milanés arius che l'ha fà la svolta (giusta u sbagliada??) 52 ann fa",Gianni Lovato,https://t.co/qH0ZEsWvRp,gianpadano,https://pbs.twimg.com/profile_images/1279825809293926400/gmD6yGfe_normal.jpg,"{'followers_count': 782, 'following_count': 371, 'tweet_count': 54909, 'listed_count': 28}",,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/qH0ZEsWvRp', 'expanded_url': 'http://gianniebasta.tumblr.com/', 'display_url': 'gianniebasta.tumblr.com'}]}}"
2550179403,False,False,"Kindness, use it. Mother,wife, friend, lover,human.",Andrea Dixon,,andrea7392000,https://pbs.twimg.com/profile_images/901788794034237441/8H_u5Vcg_normal.jpg,"{'followers_count': 14, 'following_count': 83, 'tweet_count': 151, 'listed_count': 0}",,,
4756629345,False,False,,lydia,,Wild139,https://pbs.twimg.com/profile_images/1490074056032456712/xE-nKBCa_normal.jpg,"{'followers_count': 85, 'following_count': 454, 'tweet_count': 1824, 'listed_count': 3}",,"Yorkshire and The Humber, Engl",
166932628,False,False,brander - my brand is the pursuit -here's to the finely tuned athlete on the verge of greatness....it's what you learn after you know it all that counts,Sharko Ramius,,RedFebtober,https://pbs.twimg.com/profile_images/1156637917/Hunt4RedOctober_normal.jpg,"{'followers_count': 708, 'following_count': 730, 'tweet_count': 70529, 'listed_count': 12}",,Thor's Twins,
2483470302,False,False,,Ramshankar R,,rramshanks,https://pbs.twimg.com/profile_images/1289845267760463873/wBx-d0R1_normal.jpg,"{'followers_count': 26, 'following_count': 125, 'tweet_count': 325, 'listed_count': 0}",,,
633741038,False,False,"Proud Gay Frenchman. British too, whether you like it or not. Papa. He/Him

'Thank you cakes, biscuits and jam'
#Teamchocolatine",Etienne 🏳‍🌈,,Etienne_Sheff,https://pbs.twimg.com/profile_images/1258285359164805120/zB5cz_kU_normal.jpg,"{'followers_count': 578, 'following_count': 1291, 'tweet_count': 18677, 'listed_count': 8}",,"Sheffield, Europe","{'description': {'hashtags': [{'start': 112, 'end': 128, 'tag': 'Teamchocolatine'}]}}"
455280495,False,False,,Paul Zoccola,,PZoccola,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"{'followers_count': 3, 'following_count': 82, 'tweet_count': 165, 'listed_count': 0}",,,
