id,profile_image_url,url,public_metrics,username,protected,name,description,location,verified,entities,pinned_tweet_id
1449751782511554560,https://pbs.twimg.com/profile_images/1518916589017522182/obQaiugs_normal.jpg,,"{'followers_count': 49, 'following_count': 42, 'tweet_count': 3382, 'listed_count': 0}",JulieAttrill,False,Julie Attrill,"Retired, owned by two beautiful greyhounds, married to a motorcycle mad man. Lives by the sea.",Isle of Wight,False,,
291294103,https://pbs.twimg.com/profile_images/1500886573818200064/JTuQXxG-_normal.jpg,https://t.co/ckachnHhzh,"{'followers_count': 927, 'following_count': 598, 'tweet_count': 209313, 'listed_count': 94}",creativeblock_,False,Ultra Remainer 🇺🇦,My head capitalist; my heart socialist; my soul anarchist.,"Crawford, South Lanarkshire",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ckachnHhzh', 'expanded_url': 'https://www.instagram.com/creativeblockdesign/', 'display_url': 'instagram.com/creativeblockd…'}]}}",
116835438,https://pbs.twimg.com/profile_images/1477642161600577540/Vg23jjbF_normal.jpg,,"{'followers_count': 402, 'following_count': 412, 'tweet_count': 115308, 'listed_count': 1}",53clare,False,Clare Kennedy 💙,"1953 vintage. proud Glaswegian, mum to 3 wonderful humans, celtic since 1964- socialist, French resident 🇪🇺🇫🇷🏴󠁧󠁢󠁳󠁣󠁴󠁿",,False,,
624986314,https://pbs.twimg.com/profile_images/1130210531938316288/tftjCb1O_normal.jpg,,"{'followers_count': 247, 'following_count': 609, 'tweet_count': 2262, 'listed_count': 0}",GriofaM,False,Mark O Griofa,Interested in all sports especially Kerry GAA,"Kerry, Ireland",False,,
1271758732947599360,https://pbs.twimg.com/profile_images/1516030333342388226/v3CIyjIQ_normal.jpg,,"{'followers_count': 2451, 'following_count': 2517, 'tweet_count': 8345, 'listed_count': 1}",nikolinaswift,False,nikolina˚ ༘♡ ⋆｡˚,young & reckless • fan account,Cornelia Street,False,,1.4664727939278316e+18
17116839,https://pbs.twimg.com/profile_images/946773814008012800/oiHP2nP-_normal.png,https://t.co/5t6Udfpbl1,"{'followers_count': 78, 'following_count': 81, 'tweet_count': 11677, 'listed_count': 8}",Janne_o,False,Janne Ojaniemi,"It is one of my core beliefs that you shouldn’t waste kinetic energy.

he/him",Finland,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/5t6Udfpbl1', 'expanded_url': 'http://lumisade.co', 'display_url': 'lumisade.co'}]}}",
243257966,https://pbs.twimg.com/profile_images/1392927465966907404/6cK8yb6f_normal.jpg,https://t.co/zUTKTEmCCf,"{'followers_count': 661, 'following_count': 431, 'tweet_count': 56737, 'listed_count': 37}",danyelsonfp,False,Dany Fernández 🏀,Comentarista criticón en @RadioMarcaMLG. Ahora también directos en @TwitchES en https://t.co/Ljn45uoYHb. Granaino malaguita o bokerón malafollá.,Málaga,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/zUTKTEmCCf', 'expanded_url': 'https://www.twitch.tv/danyelsonf', 'display_url': 'twitch.tv/danyelsonf'}]}, 'description': {'urls': [{'start': 80, 'end': 103, 'url': 'https://t.co/Ljn45uoYHb', 'expanded_url': 'https://www.twitch.tv/danyelsonf', 'display_url': 'twitch.tv/danyelsonf'}], 'mentions': [{'start': 25, 'end': 39, 'username': 'RadioMarcaMLG'}, {'start': 67, 'end': 76, 'username': 'TwitchES'}]}}",1.4861174171682898e+18
8175592,https://pbs.twimg.com/profile_images/1151248681510887426/7stQWS6K_normal.jpg,,"{'followers_count': 216, 'following_count': 84, 'tweet_count': 76945, 'listed_count': 17}",KnittingFynatyc,False,Stacey Get Fucking Vaccinated,Music is life. Knitting is power. Food is delicious. I cry over dead space robots. I stand for equal rights for ALL. Unless you're an asshole. She/her/hers.,Ohio,False,,
2221721,https://pbs.twimg.com/profile_images/1238925538082746368/MjMI-ity_normal.jpg,,"{'followers_count': 346, 'following_count': 236, 'tweet_count': 1873, 'listed_count': 7}",jkrahn,False,Jordan Krahn,"Sales strategy @TELUS Retail West.
Elder @theCompassWest.
Back scratch enthusiast. Saved by grace.
I roll with @mrsbkrahn","Regina, SK | Treaty 4",False,"{'description': {'mentions': [{'start': 15, 'end': 21, 'username': 'TELUS'}, {'start': 41, 'end': 56, 'username': 'theCompassWest'}, {'start': 111, 'end': 121, 'username': 'mrsbkrahn'}]}}",
195895213,https://pbs.twimg.com/profile_images/1522229807525863429/BfpNcz5K_normal.jpg,,"{'followers_count': 82, 'following_count': 682, 'tweet_count': 44364, 'listed_count': 7}",IllogicBomb,False,Illogic Bomb ☄💀🦚🎪🪄📌⚡🏆🔨💭🎨🏰🔺,"Godfather | VTuber addict | Art enthusiast | Pro wrestling fan | American Football enjoyer

#AEW #ChiefsKingdom",North Dakota,False,"{'description': {'hashtags': [{'start': 92, 'end': 96, 'tag': 'AEW'}, {'start': 97, 'end': 111, 'tag': 'ChiefsKingdom'}]}}",
