id,profile_image_url,description,name,public_metrics,url,protected,verified,username,location,pinned_tweet_id,entities
1477283140150255616,https://pbs.twimg.com/profile_images/1518243600156413952/1XYFxas0_normal.jpg,"New a/cof an old twitterati having so many AAP friends as followers. Need to deactivate that for personal reasons. Hardcore AAPian by heart, an avid traveller",Manu,"{'followers_count': 577, 'following_count': 1101, 'tweet_count': 3223, 'listed_count': 0}",,False,False,Manu211970,,,
2914248416,https://pbs.twimg.com/profile_images/1364406091853926402/D2M2vtYb_normal.jpg,"Socialist feminist, woman, mother, sista, lover of a robust discussion.",Narelle Moulton,"{'followers_count': 287, 'following_count': 309, 'tweet_count': 7378, 'listed_count': 0}",,False,False,1952Relle,Dunghutti country,,
866498771697283072,https://pbs.twimg.com/profile_images/1444931515746373637/0Hjw-GkZ_normal.jpg,リアルもネットも基本うるさいです 🎮→ニノクロ(りゅう座→ラニア/Carina)/プロセカ✨→佐藤日向/Girls²(柚葉推し🍋) ※日本語しか話せないハーフ🇯🇵×🇩🇿 フォロバ90%くらい icon→自作,🍋彩那/saina@🐲→ラニア,"{'followers_count': 1030, 'following_count': 923, 'tweet_count': 78285, 'listed_count': 16}",https://t.co/JmIBfOmIlF,False,False,nurarun_3,大阪🐙,1.5047114533829468e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/JmIBfOmIlF', 'expanded_url': 'http://twpf.jp/nurarun_3', 'display_url': 'twpf.jp/nurarun_3'}]}}"
326596116,https://pbs.twimg.com/profile_images/1410269870713880580/5BnhXMb__normal.jpg,dreams are figments of the imagination follow them!,👩🏼‍🎓®️€ 📈,"{'followers_count': 49, 'following_count': 179, 'tweet_count': 3577, 'listed_count': 0}",,False,False,RenataGuidry,louisiana,,
214350167,https://pbs.twimg.com/profile_images/795857212434321408/aDg0bF5V_normal.jpg,,Poshcat,"{'followers_count': 3, 'following_count': 16, 'tweet_count': 45, 'listed_count': 0}",,False,False,Poshykitty,,,
424863361,https://pbs.twimg.com/profile_images/1277439764870774785/-eZkiwui_normal.jpg,I'm Skateboarder | Ordinary People,Muhammad Khaitami,"{'followers_count': 191, 'following_count': 141, 'tweet_count': 4418, 'listed_count': 0}",,False,False,khaiiitamiii,Spaceship,,
99765268,https://pbs.twimg.com/profile_images/1101856062/mongyee_item_normal.gif,하이텔 천리안 애니동 애니피아 엠게임 saint,김진명,"{'followers_count': 16, 'following_count': 28, 'tweet_count': 101, 'listed_count': 0}",,False,False,zpastime,,,
159649567,https://pbs.twimg.com/profile_images/1506308636997419012/RC6GESCn_normal.jpg,I'm a math teacher and learner trying to make it in this crazy world! I think life would be better if we were all a little more accepting.,Ms. Gil,"{'followers_count': 692, 'following_count': 1747, 'tweet_count': 3814, 'listed_count': 25}",,False,False,gilligan96,East Kootenay,,
15145488,https://pbs.twimg.com/profile_images/1202305216/IMG00028-20100910-0301_normal.jpg,"🇯🇵→🇺🇸→🇮🇹→🇬🇧 Failed linguist, self-confessed foodie. 🇪🇺Posts in English on instagram (@melocoton1). 在米6年、91年より在英、海外生活35年以上の出たっきり人生♪ インスタグラムも同じ名前でやってます。",melocoton💉💉💉💙💛,"{'followers_count': 1136, 'following_count': 561, 'tweet_count': 41633, 'listed_count': 37}",https://t.co/b28aleniWn,False,False,melocoton1,London,1.5074039378167603e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/b28aleniWn', 'expanded_url': 'http://melocoton1.exblog.jp', 'display_url': 'melocoton1.exblog.jp'}]}, 'description': {'mentions': [{'start': 85, 'end': 96, 'username': 'melocoton1'}]}}"
31016852,https://pbs.twimg.com/profile_images/1456897351369609222/jQ3hp_Ih_normal.jpg,Love what you do and do what you love,Kabelo101,"{'followers_count': 564, 'following_count': 738, 'tweet_count': 8926, 'listed_count': 5}",,False,False,kabelo101,,7.888098812519014e+17,
33444487,https://pbs.twimg.com/profile_images/1520397582761037824/DcZdccT7_normal.jpg,Low tech for hi tech I Storyteller I Wannabe artist I Devoted mom,Rangashree,"{'followers_count': 178, 'following_count': 88, 'tweet_count': 364, 'listed_count': 0}",https://t.co/YfAaHp4npK,False,False,Rangashree,"Chennai, Tamil Nadu",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/YfAaHp4npK', 'expanded_url': 'http://www.algotrak.com', 'display_url': 'algotrak.com'}]}}"
234840246,https://pbs.twimg.com/profile_images/875578412399706112/CAUwbwrU_normal.jpg,イラストレーターです。ひとりごと多いです。,ぴょん,"{'followers_count': 272, 'following_count': 701, 'tweet_count': 28798, 'listed_count': 2}",,False,False,majapyon,,8.09611497911423e+17,
95898130,https://pbs.twimg.com/profile_images/1186287671/oCvkXYz2KrCq0cac1o03ks3kskXL01_normal.jpg,IT会社の海外事業担当。自分と闘い中。,ちゆき／なかみー,"{'followers_count': 209, 'following_count': 326, 'tweet_count': 5407, 'listed_count': 5}",,False,False,nkmie,Tokyo/Singapore/Jakarta,,
2925442768,https://pbs.twimg.com/profile_images/1483863231080943619/9gIzhGy4_normal.jpg,They’ve run out of extra large. I’ll have to use the bin bag again.      Pronouns: Oi / You / Thingy,Avreel🧢💋,"{'followers_count': 1553, 'following_count': 1983, 'tweet_count': 67872, 'listed_count': 2}",,False,False,avsybaby,Prompt Critical ,1.4595312634680975e+18,
763683586205560832,https://pbs.twimg.com/profile_images/785869492953886721/LtRp8kci_normal.jpg,昔『西部二人組』ってドラマがありまして というサイトの管理人やっています。FC2に引っ越しました。,a-rino-mi,"{'followers_count': 128, 'following_count': 96, 'tweet_count': 58441, 'listed_count': 0}",https://t.co/wMJUJF33K4,False,False,rino221b,日本 奈良,,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/wMJUJF33K4', 'expanded_url': 'https://aliassmithandjones.blog.fc2.com/', 'display_url': 'aliassmithandjones.blog.fc2.com'}]}}"
264578725,https://pbs.twimg.com/profile_images/792820029708316672/hMZpTZg3_normal.jpg,Research Scientist at OFM Research,Mark Ghiorso,"{'followers_count': 202, 'following_count': 89, 'tweet_count': 386, 'listed_count': 1}",,False,False,msghiorso,"Seattle, WA",,
32757107,https://pbs.twimg.com/profile_images/1151648361528713216/DdnZe8S__normal.jpg,"advocate for families with loved ones suffering from addiction-director/founder of Heretogether, mom of loved one suffering from sud.",Shawna Taylor,"{'followers_count': 123, 'following_count': 316, 'tweet_count': 6052, 'listed_count': 0}",https://t.co/WvFauoMLPJ,False,False,mamaadvocate,"Airdrie, Alberta",,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/WvFauoMLPJ', 'expanded_url': 'http://heretogether.ca', 'display_url': 'heretogether.ca'}]}}"
169738877,https://pbs.twimg.com/profile_images/1497025790382252034/0f5uVrmB_normal.jpg,cancer hero ( twice ). Urban sketcher. Always feeding my curiosity. 🌻,Kerry Clark,"{'followers_count': 537, 'following_count': 738, 'tweet_count': 6407, 'listed_count': 0}",,False,False,keropos,Living on Whadjuk land,1.345206776619266e+18,
15285491,https://pbs.twimg.com/profile_images/1188787929570660354/IWjSFsEf_normal.jpg,All work and no play makes Stu something something...,💧StÜArt_0,"{'followers_count': 520, 'following_count': 1434, 'tweet_count': 12751, 'listed_count': 10}",,False,False,shector0,"Newcastle, Australia",,
186561644,https://pbs.twimg.com/profile_images/1463504668126957569/7nAo_wur_normal.jpg,"'You can't drink all day if you don't start early.'  -Aristotle.
Ne'er-do-well who ne'er-did-try 
Bad Penny That Keeps Turning Up

https://t.co/FHw5hYFo4W",Matthew Krier,"{'followers_count': 1420, 'following_count': 926, 'tweet_count': 108873, 'listed_count': 34}",,False,False,matthewkrier,"White Bear Lake, MN",1.4375740776324178e+18,"{'description': {'urls': [{'start': 131, 'end': 154, 'url': 'https://t.co/FHw5hYFo4W', 'expanded_url': 'https://mobile.twitter.com/search?q=from%3Amatthewkrier%20-filter%3Areplies&src=typed_query&f=live', 'display_url': 'mobile.twitter.com/search?q=from%…'}]}}"
1178806297,https://pbs.twimg.com/profile_images/1351562755443101698/mrfx-4u1_normal.png,鳥と竜と睡眠好き。よく動くものとカワイイに反応します。RT多め。ポケモン歴は30分　コピー紙と鉛筆　icon by @Garm_ash　***Gore Warning***,キクリン,"{'followers_count': 163, 'following_count': 208, 'tweet_count': 15087, 'listed_count': 1}",https://t.co/uEt7TjoAxz,False,False,kikurin763,,9.62578660204032e+17,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/uEt7TjoAxz', 'expanded_url': 'https://www.pixiv.net/member.php?id=4920755', 'display_url': 'pixiv.net/member.php?id=…'}]}, 'description': {'mentions': [{'start': 58, 'end': 67, 'username': 'Garm_ash'}]}}"
1732854776,https://pbs.twimg.com/profile_images/1504211182248505344/jep1hye0_normal.jpg,,priya,"{'followers_count': 186, 'following_count': 663, 'tweet_count': 15910, 'listed_count': 0}",https://t.co/IGSSM2eKRg,False,False,moitoipaslui,montpellier,1.1894893076245832e+18,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/IGSSM2eKRg', 'expanded_url': 'https://curiouscat.me/Holachicas', 'display_url': 'curiouscat.me/Holachicas'}]}}"
