id,username,url,profile_image_url,verified,description,name,protected,public_metrics,location,entities,pinned_tweet_id
3413135699,b_taskiran67,,https://pbs.twimg.com/profile_images/1398939007690629120/jqwH7_ic_normal.jpg,False,"Ha BEŞİKTAŞ ha oksijen, ne fark eder... Makine Mühendisi. Atatürk sevdalısı.Vatan aşığı.",siyahbeyaz,False,"{'followers_count': 463, 'following_count': 979, 'tweet_count': 18978, 'listed_count': 1}",,,
71900978,YungBarack09,https://t.co/jpMkWwQXRr,https://pbs.twimg.com/profile_images/1401981480956538884/xGb8nmwP_normal.jpg,False,,Chatty Patty,False,"{'followers_count': 6679, 'following_count': 681, 'tweet_count': 335311, 'listed_count': 46}","Charlotte, NC","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/jpMkWwQXRr', 'expanded_url': 'http://instagram.com/yungbarack09', 'display_url': 'instagram.com/yungbarack09'}]}}",1.2433678671998075e+18
421729298,tr_tii,https://t.co/xv5TQrIjWh,https://pbs.twimg.com/profile_images/1516196429739421700/SvbmQk0m_normal.jpg,False,"a du’a can make something impossible, possibles again. || amway business owner. click link below to ask/buy anything abt the products",Atirah✨ || amwaybizowner,False,"{'followers_count': 1789, 'following_count': 464, 'tweet_count': 46157, 'listed_count': 0}",Nanananana ganu kiter,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/xv5TQrIjWh', 'expanded_url': 'http://linktree.com/atirahhayati', 'display_url': 'linktree.com/atirahhayati'}]}}",1.3648965781005844e+18
1423459270134272000,play2earncanada,,https://pbs.twimg.com/profile_images/1466967005605642242/UJ01TRfv_normal.jpg,False,Believer in Web3 gaming. Axie | PizzaGame,0xfrogprince 🍕🥤| Play2Earn Canada,False,"{'followers_count': 427, 'following_count': 552, 'tweet_count': 646, 'listed_count': 3}",The Metaverse,,1.4258416557022495e+18
989801221,CMRice14,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,False,"Retired, grandparent.",GrammaCassie,False,"{'followers_count': 18, 'following_count': 135, 'tweet_count': 110, 'listed_count': 0}","Valencia, CA",,
5519312,_leenoh,,https://pbs.twimg.com/profile_images/3551786520/2f27d174b117a3ab3b98e4fe28a054a7_normal.jpeg,False,i like pleasure spiked with pain and music is my aeroplane,Lee(noh),False,"{'followers_count': 287, 'following_count': 570, 'tweet_count': 17979, 'listed_count': 19}","Manila, Philippines",,1.411664147847123e+18
1202321489724366848,umedonguri,https://t.co/kFkSfyT3s3,https://pbs.twimg.com/profile_images/1491664923218386946/FGbcUr3p_normal.jpg,False,在米20余年ディープなスケオタ(青ファントム落ち)です。基本ネガティブな事は言わない主義。たまに独りよがりな翻訳、意訳、解説動画あげますが🇺🇸生活のあれこれ面白エピソードも呟きます。行くぞ！シュッと跳んでパッと降りるのだ🔥で次はいつどこよ？,ウメドンumedon(落武者now and then),False,"{'followers_count': 3905, 'following_count': 495, 'tweet_count': 21257, 'listed_count': 38}","Boston, MA","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/kFkSfyT3s3', 'expanded_url': 'https://www.youtube.com/channel/UCdNfZRZfbUk5Ttu9lq9YahA', 'display_url': 'youtube.com/channel/UCdNfZ…'}]}}",1.2497169681664287e+18
18485856,bonniephillips,,https://pbs.twimg.com/profile_images/1851671374/photobmp_normal.jpg,False,"animal loving, hardworking wife and sledgehammer holder",Bonnie Phillips,False,"{'followers_count': 399, 'following_count': 510, 'tweet_count': 18106, 'listed_count': 7}",,,
3162028531,msmike772,,https://pbs.twimg.com/profile_images/1479928766751248387/p6_AZ2gn_normal.jpg,False,West Indian ≠ BLACK (apparently) | Trini 🇹🇹,✨Boosted✨,False,"{'followers_count': 813, 'following_count': 1278, 'tweet_count': 20278, 'listed_count': 7}",Trinidad and Tobago,,1.3189968102418924e+18
20125754,_xniF,https://t.co/uHDV7uYkOT,https://pbs.twimg.com/profile_images/3192029631/89fec4c55f5685334f4ae401d520c2b9_normal.gif,False,"ต๊กต๋าเปิ้นเป๋นดีไค่หัว ต๊กต๋าตั๋วเป๋นดีไค่ไห้ 
(ESFJ-T)",ลฟ ,False,"{'followers_count': 5920, 'following_count': 517, 'tweet_count': 363623, 'listed_count': 53}",Lanna Kingdom,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/uHDV7uYkOT', 'expanded_url': 'https://www.instagram.com/3Dscii', 'display_url': 'instagram.com/3Dscii'}]}}",
1282475423344009216,biyinglossy,,https://pbs.twimg.com/profile_images/1510469665532919812/ErO3rDPY_normal.jpg,False,"Auron | Biyín┊🍂 ༉‧₊˚
♡ ; She/Her ; not impersonating !
Stars don't shine, they burn 🐿*ੈ",Mari🍂,False,"{'followers_count': 686, 'following_count': 496, 'tweet_count': 20736, 'listed_count': 2}",Wonderland *ੈ✩,,1.5106659087081554e+18
17010412,Eagle314,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,False,,Eagle314,False,"{'followers_count': 42, 'following_count': 1445, 'tweet_count': 651, 'listed_count': 0}",,,
