id,profile_image_url,entities,url,public_metrics,username,protected,name,description,location,verified,pinned_tweet_id
39296414,https://pbs.twimg.com/profile_images/1492000622601777153/7rJ6Jpjg_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/qNPfyjkYdd', 'expanded_url': 'https://www.yourpurplenation.com', 'display_url': 'yourpurplenation.com'}]}, 'description': {'hashtags': [{'start': 107, 'end': 123, 'tag': 'lifelonglearner'}, {'start': 124, 'end': 134, 'tag': 'Skillsoft'}, {'start': 135, 'end': 143, 'tag': 'GoDukes'}], 'mentions': [{'start': 57, 'end': 70, 'username': 'TheJMUNation'}, {'start': 90, 'end': 106, 'username': 'yourpurplestore'}]}}",https://t.co/qNPfyjkYdd,"{'followers_count': 1016, 'following_count': 869, 'tweet_count': 14234, 'listed_count': 29}",cabdallas,False,Carol Benassi,Tweeting about traveling/HR topics/sports/life. Admin of @TheJMUNation FB group. Owner of @yourpurplestore #lifelonglearner #Skillsoft #GoDukes!,"Dallas, TX",False,
331883840,https://pbs.twimg.com/profile_images/1476762097/image_normal.jpg,,,"{'followers_count': 60, 'following_count': 276, 'tweet_count': 1515, 'listed_count': 1}",outtakesandy,False,Andy Best,"Weather guy. Loves photography, film. one of NZ OutTakes film Fest organizers.","Wellington, New Zealand",False,
10268252,https://pbs.twimg.com/profile_images/1412495157900070912/cZisxKHe_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/WmkEbmCHHl', 'expanded_url': 'https://www.instagram.com/enemigo.cl', 'display_url': 'instagram.com/enemigo.cl'}]}}",https://t.co/WmkEbmCHHl,"{'followers_count': 11646, 'following_count': 1822, 'tweet_count': 79595, 'listed_count': 100}",enemigo,False,Enemigo,"Músico y gatista. Mi disco Rutina disponible en Spotify, iTunes y todos los servicios de streaming. Opiniones personales de mi persona solista.","Santiago, Chile",False,1.5122746293346918e+18
175906357,https://pbs.twimg.com/profile_images/1173348017853947906/QbvNeSCc_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/UDR9IUFaCb', 'expanded_url': 'http://www.facbook.com/bensilberman', 'display_url': 'facbook.com/bensilberman'}]}}",https://t.co/UDR9IUFaCb,"{'followers_count': 96, 'following_count': 1016, 'tweet_count': 3199, 'listed_count': 1}",bensilb,False,Ben Silberman,,"Newington, CT",False,
125414983,https://pbs.twimg.com/profile_images/1285756464116760579/6io-X6va_normal.jpg,,,"{'followers_count': 942, 'following_count': 627, 'tweet_count': 60216, 'listed_count': 9}",_ColourMeBadd_,False,Ashley,,,False,5.249225285291622e+16
1129104107594231808,https://pbs.twimg.com/profile_images/1491430903020720128/EwacV8Uu_normal.jpg,"{'description': {'mentions': [{'start': 17, 'end': 27, 'username': 'Lecter_TV'}]}}",,"{'followers_count': 56, 'following_count': 57, 'tweet_count': 2111, 'listed_count': 0}",sahnetoertchenx,False,Tina✨,21 • ❤️5/20/20❤️ @Lecter_TV 👩‍❤️‍💋‍👨❤️,with @Lecter_TV,False,1.29751725764454e+18
889499761,https://pbs.twimg.com/profile_images/1437800602952683524/NoIRSAmd_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/BOHwCmqgzh', 'expanded_url': 'https://www.instagram.com/davidpwebber/', 'display_url': 'instagram.com/davidpwebber/'}]}}",https://t.co/BOHwCmqgzh,"{'followers_count': 283, 'following_count': 1903, 'tweet_count': 20327, 'listed_count': 7}",davidpwebber21,False,David Webber,d.c. sports fan for some ungodly reason,"Chicago, IL",False,1.191146507908649e+18
141737251,https://pbs.twimg.com/profile_images/1498415930140995587/9JVOU87t_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/KRLiyPdHcx', 'expanded_url': 'http://www.kidlitfun.com', 'display_url': 'kidlitfun.com'}]}, 'description': {'hashtags': [{'start': 11, 'end': 18, 'tag': 'Author'}, {'start': 20, 'end': 26, 'tag': 'SCBWI'}, {'start': 35, 'end': 43, 'tag': 'Library'}, {'start': 69, 'end': 77, 'tag': '12x12PB'}, {'start': 86, 'end': 92, 'tag': 'Baker'}, {'start': 116, 'end': 126, 'tag': 'Christian'}]}}",https://t.co/KRLiyPdHcx,"{'followers_count': 6301, 'following_count': 5818, 'tweet_count': 18658, 'listed_count': 123}",AileenWStewart,False,Aileen Stewart,"Children's #Author, #SCBWI Member, #Library Board of Trustee Member, #12x12PB Member, #Baker, Amateur Photographer, #Christian, and Herder of Cats 🐱🐱🐱","Shelby, Ohio",False,1.520015323084243e+18
1461016123906867200,https://pbs.twimg.com/profile_images/1461016525175939077/UW2XG79L_normal.jpg,,,"{'followers_count': 3, 'following_count': 3, 'tweet_count': 1064, 'listed_count': 0}",DadisaLad,False,Arnold Benedict,Just a hard working dad with a young little lad,,False,
58479925,https://pbs.twimg.com/profile_images/2005257768/KobeWills_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/k4rSTN9Ze8', 'expanded_url': 'https://opensea.io/accounts/0x1508f926dd69373021da4d7181ef9835b60ecb31', 'display_url': 'opensea.io/accounts/0x150…'}]}, 'description': {'urls': [{'start': 77, 'end': 100, 'url': 'https://t.co/NpFWvQetJF', 'expanded_url': 'http://foundation.app/gwillz', 'display_url': 'foundation.app/gwillz'}, {'start': 103, 'end': 126, 'url': 'https://t.co/rxQaWNYglR', 'expanded_url': 'http://Instagram.com/gwillz', 'display_url': 'Instagram.com/gwillz'}]}}",https://t.co/k4rSTN9Ze8,"{'followers_count': 553, 'following_count': 3724, 'tweet_count': 6834, 'listed_count': 15}",GWiLLzzz,False,G. W I L L S ✈️,“QUARANTINE CHRONICLES” 📚 now avail (see pinned 📌 tweet). DM for more info | https://t.co/NpFWvQetJF | https://t.co/rxQaWNYglR 🤙,,False,1.465877143884288e+18
399128978,https://pbs.twimg.com/profile_images/1493100726985367559/a2puljc9_normal.jpg,,,"{'followers_count': 168, 'following_count': 512, 'tweet_count': 969, 'listed_count': 0}",aceituba,False,Kevin A.,,,False,
262245947,https://pbs.twimg.com/profile_images/1483431135170514947/ynp_IgIv_normal.jpg,,,"{'followers_count': 101, 'following_count': 1078, 'tweet_count': 1118, 'listed_count': 1}",kfcon1,False,Kevin,Union strong! I like cats. learning cast iron cooking. I still listen to old Art Bell shows for entertainment purposes only,Chicagoland ,False,1.3820430675622666e+18
2010011,https://pbs.twimg.com/profile_images/1346489588689285122/Dgt9dnp7_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/atX1JOzi2t', 'expanded_url': 'https://svanormer.twitter.com', 'display_url': 'svanormer.twitter.com'}]}}",https://t.co/atX1JOzi2t,"{'followers_count': 395, 'following_count': 2820, 'tweet_count': 8324, 'listed_count': 11}",svanormer,False,Steven R Van Ormer,A goal without a plan is just a wish.,"South Riding, Va",False,
4338392249,https://pbs.twimg.com/profile_images/1506059762655498241/gAbeJyAS_normal.jpg,,,"{'followers_count': 303, 'following_count': 425, 'tweet_count': 53029, 'listed_count': 1}",cabezapony,False,Miner ♏,"Friki y adicta al té 🍵🏳️‍🌈♀️
Estudio Historia para acabar en el paro seguramente.
Al menos me se hacer el eyeliner bien","Sevilla, Andalucía",False,1.1091849934594048e+18
186614681,https://pbs.twimg.com/profile_images/1518745934049521666/_jM_iK8N_normal.jpg,,,"{'followers_count': 1277, 'following_count': 725, 'tweet_count': 8433, 'listed_count': 29}",wormatwork,False,Charulata,"culinary professional by day, connoisseur by night","Sunnyside, Queens",False,
978545694603665408,https://pbs.twimg.com/profile_images/1499439679707430915/8wJb_UWa_normal.jpg,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/8PDK7M3GfF', 'expanded_url': 'https://vm.tiktok.com/ZMeboX4Lj/', 'display_url': 'vm.tiktok.com/ZMeboX4Lj/'}]}, 'description': {'mentions': [{'start': 141, 'end': 154, 'username': 'MohammedFi10'}]}}",https://t.co/8PDK7M3GfF,"{'followers_count': 322, 'following_count': 1568, 'tweet_count': 16407, 'listed_count': 2}",PKMNCappy,False,Competitive Cappy,"Pokémon Trainer | Digimon Tamer | Art enjoyer | Happily married 💍 | 30 | enby | he/they | 🎶 I’m a neon rainbow, and you’re no fun 🎶 | pfp by @MohammedFi10","Clemson, SC",False,1.505035668665344e+18
1297544151043641344,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,"{'followers_count': 3, 'following_count': 385, 'tweet_count': 339, 'listed_count': 0}",notawisewoman,False,rainbowperson,this is just my worlde dump tbh,,False,
