id,location,profile_image_url,description,name,public_metrics,url,pinned_tweet_id,protected,verified,username,entities
609281675.0,Scranton,https://pbs.twimg.com/profile_images/1475882483958779906/fuA8oflJ_normal.jpg,"a veces miro a una cámara que no existe ig:@aguss_igle, #AnotateEstoPodcast: https://t.co/gh6zbkG4ME",ahus,"{'followers_count': 477, 'following_count': 407, 'tweet_count': 16563, 'listed_count': 0}",https://t.co/iQDIzMHM8B,1.2824604207003402e+18,False,False,aguss_igle,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/iQDIzMHM8B', 'expanded_url': 'https://www.behance.net/gallery/104287695/Portfolio', 'display_url': 'behance.net/gallery/104287…'}]}, 'description': {'urls': [{'start': 77, 'end': 100, 'url': 'https://t.co/gh6zbkG4ME', 'expanded_url': 'https://open.spotify.com/show/0ShsaJqYGcpQmWez4M6bwe?si=4Ti4f9Z6T8ak92wnBWDJqA', 'display_url': 'open.spotify.com/show/0ShsaJqYG…'}], 'hashtags': [{'start': 56, 'end': 75, 'tag': 'AnotateEstoPodcast'}], 'mentions': [{'start': 43, 'end': 54, 'username': 'aguss_igle'}]}}"
1.172264918336385e+18,,https://pbs.twimg.com/profile_images/1172265284209709056/ZPjD_Z-U_normal.jpg,Gone with the wind,Paquiber,"{'followers_count': 2, 'following_count': 146, 'tweet_count': 265, 'listed_count': 0}",,,False,False,Paquiber1,
1.2726835832876524e+18,vial forever,https://pbs.twimg.com/profile_images/1488272804608765953/RQzi5cco_normal.jpg,car guy and domino’s employee,ً,"{'followers_count': 681, 'following_count': 335, 'tweet_count': 23254, 'listed_count': 13}",https://t.co/0txnyXTj5G,1.4955194909934387e+18,False,False,cam6ron,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/0txnyXTj5G', 'expanded_url': 'https://www.twitch.tv/camspins', 'display_url': 'twitch.tv/camspins'}]}}"
360304610.0,,https://pbs.twimg.com/profile_images/1175550462004748288/J3E89vct_normal.jpg,✨Not all those who wander are lost✨ 07.05.19💍❣️  05.2022👶🏼,Cate🐧,"{'followers_count': 488, 'following_count': 687, 'tweet_count': 29682, 'listed_count': 12}",,7.18093013231149e+17,False,False,chillebold,
20793368.0,"Washington, DC",https://pbs.twimg.com/profile_images/689954042135629824/kUTMInQB_normal.jpg,dominican new yorker; civil rights lawyer; transplant to DC. RPCV Azerbaijan 2009-11,Jessica Alcantara,"{'followers_count': 605, 'following_count': 1260, 'tweet_count': 11253, 'listed_count': 12}",,,False,False,yessicana,
197574566.0,"Marina del Rey, CA",https://pbs.twimg.com/profile_images/1492580503223869440/3QGVUKzp_normal.jpg,just being gay in ca,Betty Leigh,"{'followers_count': 146, 'following_count': 277, 'tweet_count': 4485, 'listed_count': 9}",,,False,False,bettyyyyleighhh,
33043842.0,At your dad's house ,https://pbs.twimg.com/profile_images/1476609383140364290/mIJGiErd_normal.jpg,Dream chaser. 1881. 1908.  I'm a princess cause my father is the King of Kings!! ,k,"{'followers_count': 1445, 'following_count': 1599, 'tweet_count': 213076, 'listed_count': 47}",,,False,False,KamRenee,
96711940.0,"CDMX, Mexico",https://pbs.twimg.com/profile_images/1120520301043945472/G-y7lZOG_normal.jpg,"Hola muñec@s! Soy un streamer de variedad!
Twitch: https://t.co/6pXfkkaTqp
Youtube: https://t.co/weyO7K5Y8r)
Site: https://t.co/C6naPQ6ARN",AldoSlashuur,"{'followers_count': 24, 'following_count': 195, 'tweet_count': 1119, 'listed_count': 2}",,,False,False,AldoSlashuur,"{'description': {'urls': [{'start': 51, 'end': 74, 'url': 'https://t.co/6pXfkkaTqp', 'expanded_url': 'http://twitch.tv/aldoslashuur', 'display_url': 'twitch.tv/aldoslashuur'}, {'start': 84, 'end': 107, 'url': 'https://t.co/weyO7K5Y8r', 'expanded_url': 'http://goo.gl/bPT3aH', 'display_url': 'goo.gl/bPT3aH'}, {'start': 115, 'end': 138, 'url': 'https://t.co/C6naPQ6ARN', 'expanded_url': 'https://sites.google.com/view/aldoslashuur', 'display_url': 'sites.google.com/view/aldoslash…'}]}}"
1.10816731574349e+18,"Halifax, Nova Scotia",https://pbs.twimg.com/profile_images/1300493659784327170/CGFvPFRs_normal.jpg,💍 x1 | I play 2K with my irl's @TeamBahamas2K 🇧🇸,Vardo,"{'followers_count': 113, 'following_count': 125, 'tweet_count': 944, 'listed_count': 1}",https://t.co/vXLdqsUqMZ,,False,False,VardoBeShootin,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/vXLdqsUqMZ', 'expanded_url': 'http://www.twitch.tv/VardoBeShootin', 'display_url': 'twitch.tv/VardoBeShootin'}]}, 'description': {'mentions': [{'start': 31, 'end': 45, 'username': 'TeamBahamas2K'}]}}"
1.4136413881267323e+18,埼玉県,https://pbs.twimg.com/profile_images/1472093536728522753/-kLuRGuy_normal.jpg,#藤井風４択 藤井風、平井堅、back number、星野源、BTS、ﾊﾞﾛｯｸ、ｵﾍﾟﾗ、ﾐｭｰｼﾞｶﾙ、猫、映画、ﾎﾟｹｶﾗ菜種油色のﾌｼﾞ、語学、料理、冗談好き。2021/5/3ﾋﾞﾊﾞﾗ10/3横ｱﾘ、相互ﾌｫﾛｰ推奨、note IDはcallmeasyoulike、ｺﾐｭﾆﾃｨ凪まち管理人2022.3.24〜,名乗るほどのものではない,"{'followers_count': 1225, 'following_count': 1205, 'tweet_count': 54761, 'listed_count': 8}",,1.520511580261462e+18,False,False,cxjwLOLQRaJQuUg,"{'description': {'hashtags': [{'start': 0, 'end': 6, 'tag': '藤井風４択'}]}}"
2492626740.0,らがどーん,https://pbs.twimg.com/profile_images/1509847570520342532/qXIMi85b_normal.jpg,十下になると死ぬらしい。ラガの末席。いぶそうは人生。,三下,"{'followers_count': 336, 'following_count': 535, 'tweet_count': 5838, 'listed_count': 0}",,,False,False,a_dear_acid,
266167879.0,,https://pbs.twimg.com/profile_images/378800000800226821/953b9bef4ac226b07ab68d4bc5db1e3c_normal.jpeg,Sommelier de fracasos.,Marco,"{'followers_count': 144, 'following_count': 1451, 'tweet_count': 5618, 'listed_count': 1}",,,False,False,kosky_md,
226720585.0,,https://pbs.twimg.com/profile_images/378800000726647854/c7f744830fdfbf3f1722bb175427f8a2_normal.jpeg,,Sònia Buedo,"{'followers_count': 132, 'following_count': 244, 'tweet_count': 1226, 'listed_count': 2}",,,False,False,SoniaBuedo,
65193598.0,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"Teacher, parent, grandparent,friend ,thinker, and lover of life .",Mark Burke,"{'followers_count': 112, 'following_count': 90, 'tweet_count': 2137, 'listed_count': 2}",,,False,False,stoneyb67,
