id,protected,name,description,username,url,verified,profile_image_url,pinned_tweet_id,public_metrics,location,entities
183895910,False,Felipe,fool enough to almost be it,peroweonn,,False,https://pbs.twimg.com/profile_images/1489768524532748292/d7L_V4J__normal.jpg,1.4523654509568532e+18,"{'followers_count': 1187, 'following_count': 1617, 'tweet_count': 22406, 'listed_count': 9}",Viña del Mar,
17621883,False,Jared Miller,"I'm an RPG/Sci-Fi/Band Geek. I'm a hopeless romantic, who is mostly hopeless, but hopelessly in love w/my wife. Curator of @GinaAside account.",JRadimus,,False,https://pbs.twimg.com/profile_images/566490274/Home-made_Geek_normal.jpg,,"{'followers_count': 162, 'following_count': 323, 'tweet_count': 5817, 'listed_count': 9}",Denial,"{'description': {'mentions': [{'start': 123, 'end': 133, 'username': 'GinaAside'}]}}"
1292319508099604480,False,celine ⋈ ♡,she/her • 21 • minors look away 🔞 | currently taking breaks from feminism for yoo kihyun (backup: @hamjibebe),hamkibebe,https://t.co/mHejCJvhGh,False,https://pbs.twimg.com/profile_images/1509833982414057473/SaSMngRv_normal.jpg,1.5028096835640525e+18,"{'followers_count': 774, 'following_count': 695, 'tweet_count': 11270, 'listed_count': 8}",read carrd byf →,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/mHejCJvhGh', 'expanded_url': 'http://seventhirtyam.carrd.co', 'display_url': 'seventhirtyam.carrd.co'}]}, 'description': {'mentions': [{'start': 98, 'end': 108, 'username': 'hamjibebe'}]}}"
1245480663102279680,False,ゆむる,"それでもあなたが笑わなきゃ 僕は悲しいや/ 
i→ぷりん(@onigiri3141592)",yumururu,,False,https://pbs.twimg.com/profile_images/1431430299418693634/jxxcq0w-_normal.jpg,1.4103685575657103e+18,"{'followers_count': 10, 'following_count': 67, 'tweet_count': 8858, 'listed_count': 0}",イスの上,"{'description': {'mentions': [{'start': 29, 'end': 44, 'username': 'onigiri3141592'}]}}"
1519018104910716928,False,Cool B,"Beets, birds, bad (and good) tv",coolbird82,,False,https://pbs.twimg.com/profile_images/1519019948621934595/VEFewaET_normal.jpg,,"{'followers_count': 2, 'following_count': 16, 'tweet_count': 22, 'listed_count': 0}",,
94123823,False,Chris Daniel,Fmr. Harris County District Clerk. I ran the court system for the largest county in Texas (which includes Houston). engineer. lawyer. native Houstonian,texasdaniel,https://t.co/ojppEqfDlX,False,https://pbs.twimg.com/profile_images/1060127951059107841/sDT9Wq6w_normal.jpg,,"{'followers_count': 3006, 'following_count': 3653, 'tweet_count': 5465, 'listed_count': 39}","Houston, TX","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ojppEqfDlX', 'expanded_url': 'http://www.chrisdaniel.org', 'display_url': 'chrisdaniel.org'}]}}"
348666120,False,Robert Coté,"Golf Aficionado, Casino dealer, Poker player , Movie expert .Cooking Master . Daddy , Friend , Son !!",greygoose63,https://t.co/CHqrnpYg3D,False,https://pbs.twimg.com/profile_images/1483137365300465666/UZIIi2Yv_normal.jpg,,"{'followers_count': 271, 'following_count': 3231, 'tweet_count': 1106, 'listed_count': 3}","Montréal ,PQ  Canada","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/CHqrnpYg3D', 'expanded_url': 'http://golf4cote.wix.com/golf4cote', 'display_url': 'golf4cote.wix.com/golf4cote'}]}}"
73533194,False,timmydownawell,"Comments and lame cracks from the sidelines. Expat. Left of centre. Not really a muppet. No, really.",timmydownawell,,False,https://pbs.twimg.com/profile_images/550216156783456256/W1ejuHYy_normal.jpeg,,"{'followers_count': 231, 'following_count': 244, 'tweet_count': 14674, 'listed_count': 0}",South East Asia,
1475343936918933504,False,Lucilla🧚‍♀️,nat ur business,pacinggg,,False,https://pbs.twimg.com/profile_images/1521175385194475520/8rNbz2Tc_normal.jpg,,"{'followers_count': 0, 'following_count': 29, 'tweet_count': 13, 'listed_count': 0}",,
1046028783566934016,False,Brad,Disney fan | First visit - 6/72 | Father of 4 Disney fans | Grandfather of 3 Disney fans | #VFL,BbvWdw,,False,https://pbs.twimg.com/profile_images/1515125174500315146/tvPGEf80_normal.jpg,1.5153319682081546e+18,"{'followers_count': 167, 'following_count': 253, 'tweet_count': 487, 'listed_count': 2}",,"{'description': {'hashtags': [{'start': 91, 'end': 95, 'tag': 'VFL'}]}}"
