id,protected,url,name,description,public_metrics,username,profile_image_url,verified,entities,location,pinned_tweet_id
115893649,False,,Hiroyuki Yagi,"八木敬之。サラリーマン/ジャズテナーサックス吹き。Scott Kinsey, Steve Thornton等一流ミュージシャンと共演、New York録音、KL録音含む7枚のCDに参加。ここ数年はアジア各地での国際ジャズフェスに出演。マレーシアから最近日本に戻りました。ぼちぼち演奏再開。","{'followers_count': 352, 'following_count': 575, 'tweet_count': 2786, 'listed_count': 19}",yagi_bumpus,https://pbs.twimg.com/profile_images/1581721533/milesCafe_normal.jpg,False,,,
19308612,False,https://t.co/7pAjrO9ZPY,Ron B. =o),"I love to walk, hike, paddle, camp, read, sci-fi, tech & more..
Working towards my better self. 
carpe aestas","{'followers_count': 1333, 'following_count': 1005, 'tweet_count': 10473, 'listed_count': 37}",boydrw,https://pbs.twimg.com/profile_images/1457425513056702467/8Qo2CH6f_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/7pAjrO9ZPY', 'expanded_url': 'http://ronboyd.ca', 'display_url': 'ronboyd.ca'}]}}","Halton Hills, Ontario",
1220396689644761088,False,,CW Cat,Loving Life at CW!,"{'followers_count': 324, 'following_count': 909, 'tweet_count': 20262, 'listed_count': 0}",CWCat3,https://pbs.twimg.com/profile_images/1499772982276800513/H3NEv2N-_normal.jpg,False,,The Ville ,1.5212107982988288e+18
1390885260762574848,False,,Stringfellow Hawke 🇺🇦,"Pilot of the supersonic attack helicopter Airwolf, stunt pilot for Santini Air, reclusive ladies man, cellist, outdoorsman, lifelong member of #BillsMafia","{'followers_count': 22, 'following_count': 204, 'tweet_count': 1368, 'listed_count': 0}",WhereIsSinJin,https://pbs.twimg.com/profile_images/1407344032968237057/C8IDC2Vw_normal.jpg,False,"{'description': {'hashtags': [{'start': 143, 'end': 154, 'tag': 'BillsMafia'}]}}","Monument Valley, AZ",1.4806273355817452e+18
829464419289669632,False,,Maria  Reynoso,,"{'followers_count': 87, 'following_count': 802, 'tweet_count': 4734, 'listed_count': 0}",MariaTReynoso4,https://pbs.twimg.com/profile_images/1451340058385133571/xl6NpSJ5_normal.jpg,False,,,
470409515,False,,Jorge R ☯️,El llanto de la nube es la sonrisa del desierto. De Junior gracias a Dios y a mí papá! ❤️🤍🦈,"{'followers_count': 195, 'following_count': 635, 'tweet_count': 8255, 'listed_count': 0}",el_curioso_30,https://pbs.twimg.com/profile_images/1514971424762564610/4MAGRyQf_normal.jpg,False,,"Barranquilla, Atlántico",1.2654627593802097e+18
169514792,False,,Trinette Armstead,"Know God
Find freedom
Discover purpose
Make a difference","{'followers_count': 86, 'following_count': 25, 'tweet_count': 11682, 'listed_count': 7}",Trinette504,https://pbs.twimg.com/profile_images/1497633263686406163/b0JSkLz4_normal.jpg,False,,New Orleans,
27825952,False,,mariah 🎀,26 | Civil Engineer | INFJ,"{'followers_count': 766, 'following_count': 555, 'tweet_count': 20121, 'listed_count': 20}",kathysteria,https://pbs.twimg.com/profile_images/1521874636182487040/UXCTTBWc_normal.jpg,False,,,1.2445444160747438e+18
435888977,False,http://t.co/DHKYtA8Zzi,Luismi Sainz,Etengabeko ostraneniean,"{'followers_count': 60, 'following_count': 166, 'tweet_count': 2008, 'listed_count': 1}",LuismiSainz,https://pbs.twimg.com/profile_images/1508546383934021632/XpM6XcUY_normal.jpg,False,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/DHKYtA8Zzi', 'expanded_url': 'http://www.flickr.com/photos/kixmi/', 'display_url': 'flickr.com/photos/kixmi/'}]}}",EH,
460226047,False,,rhiannon nic an tsagairt,24 • beidh ár lá linn,"{'followers_count': 1503, 'following_count': 1716, 'tweet_count': 34933, 'listed_count': 7}",rhinicc,https://pbs.twimg.com/profile_images/1476359953287946242/kMHM7bhc_normal.jpg,False,,Iúr Cinn Trá,
